Charc,Movie
",Rekha,Jaidev,Amrita Singh,Farah Naaz,Aditya Pancholi",Veeru Dada
",Dibakar Banerjee,Ekta Kapoor,Sneha Khanwalkar",Love Sex aur Dhokha
,D
",Jackie Shroff,Mukesh Rishi,Raza Murad,Shakti Kapoor,Dipti Bhatnagar,Mithun Chakraborty,Johnny Lever,Dalip Tahil",Ganga Ki Kasam
",Raunakbhai Paresh Rawal,Bappi Lahiri,Johnny Lever",Hahakaar
",Amitabh Bachchan,Anant Mahadevan,Rahul Roy,Firoz Nadiadwala,Asrani",Hanste Khelte
",Amol Palekar,Shreeram Lagoo,Jalal Agha",Gharaonda
",Akkineni Nageswara Rao,Jeetendra,K. Pratyagatma",Ek Nari Ek Brahmachari
",Shah Rukh Khan,Rani Mukerji,Salman Khan,Aziz Mirza,Alka Yagnik,Abhijeet Bhattacharya",Chalte Chalte
",Thakur Vikram Singh,Ravindra Jain,Hema Malini,Jeetendra",Hum Tere Ashiq Hain
",Arjun Singh,Amisha Patel,Sunny Deol,Asha Bhonsle,Michael Powell,Harry Baweja,Mukesh Tiwari,Mukesh Rishi,Abrar Ul Haq,Aarti Chabaria,Sukhshinder Shinda,Neha Dhupia,Murli Sharma,Aashish Chaudhary",Teesri Aankh: The Hidden Camera
",Manisha Koirala,Chunky Pandey,Subhash Ghai,Uma Devi,Sushma Seth,Gulshan Grover,Danny Denzongpa,Dalip Tahil",First Love Letter
",Sunil Shetty,Jeetendra,Mukesh Khanna,Kiran Kumar",Judge Mujrim
",Hrithik Roshan,Sonam Kapoor,Rakeysh Omprakash Mehra,Abhishek Bachchan,A. R. Rahman,Waheeda Rahman,Rishi Kapoor,Divya Dutta,Nargis Dutt,Atul Kulkarni",Delhi-6
",Mithun Chakraborty,Anand Bakshi,Naseeruddin Shah,Varsha Usgaonkar",Shikari: The Hunter
",Mamta Kulkarni,Deepa Sahi,Rahul Roy,Jeetendra,Suresh Oberoi",Bhookamp
",Neena Gupta,Shakti Kapoor,Sunny Deol,Prem Chopra,Shibu Mitra,Aruna Irani,Jaya Prada,Satyen Kappu",Veerta
",Kamal Haasan,Satyen Kappu",Yeh To Kamaal Ho Gaya
,Raftaar
",Kajol,Kamal Sadanah,Vijayendra Ghatge,Saif Ali Khan,Amrita Singh",Bekhudi
",Jackie Shroff,Anupama Chopra,Vikram Singh,Sajid Nadiadwala,Mustafa Zahid",Heropanti
",Sajid Khan,Akshay Kumar,Fardeen Khan,Vidya Balan,Boman Irani",Heyy Babyy
",Rishi Kapoor,A. K. Hangal,Reena Roy",Badalte Rishtey
",Diya Mirza,Sunil Shetty,Apoorva Lakhia,Abhishek Bachchan",Shootout at Lokhandwala
",Udit Narayan,Kader Khan,Jackie Shroff,Shakti Kapoor,Aditya Pancholi",Dus Numbri
",Shweta Menon,James Hadley Chase,Atul Kulkarni,Rahul Dev,Sanjay Singh",88 Antop Hill
",Rajesh Khanna,Sharmila Tagore,Prem Chopra,Yash Chopra,Thomas Hardy,Madan Puri,Akkineni Nageswara Rao,Sahir Ludhianvi,Kader Khan,Raakhee,A.K. Hangal,Vanisri",Daag: A Poem of Love
",Emperor Ashoka,Chandragupta Maurya,Kunala",Asoka
",Thakur Baldev Singh,Amitabh Bachchan,Anupama Chopra,Ramesh Sippy,Dharmendra,George Roy Hill,Amjad Khan,Comedian Jagdeep",Sholay
",Ashutosh Rana,Govind Nihalani",Sanshodhan
,Palkon Ki Chhaon Mein
",Saeed Jaffrey,Raj Babbar,Satish Shah,Mithun Chakraborty,Poonam Dhillon",Hisaab Khoon Ka
,Andha Yudh
",Shilpa Shukla,Rajkumar Hirani,Sudhir Mishra,Swanand Kirkire",Crazy Cukkad Family
",Sanjay Dutt,Sunil Dutt,Arshad Warsi,Rajkumar Hirani,Vidhu Vinod Chopra,Boman Irani,Gracy Singh,Abbas Tyrewala",Munna Bhai M.B.B.S.
",Abhishek Bachchan,Anuradha Paudwal,Babul Supriyo",Dhaai Akshar Prem Ke
",Kumar Gaurav,Mithun Chakraborty,Sunil Dutt,Ravi Chopra",Pratigyabadh
",Shah Rukh Khan,Kumar Sanu,Juhi Chawla,Kashmira Shah,Aditya Pancholi,Aziz Mirza,Javed Akhtar,Abhijeet Bhattacharya,Reema Lagoo,Gulshan Grover,Udit Narayan",Yes Boss
",Rizwan,Rizwan Khan,Zayed Khan,Vivek Oberoi,Apoorva Lakhia,Shriya Saran,Tusshar Kapoor,Abhishek Bachchan",Mission Istaanbul
",Paresh Rawal,Sunil Shetty,Akshay Kumar,Priyadarshan,Anu Malik",Hera Pheri
",Kay Kay Menon,Jackie Shroff,Zakir Hussain",Satrangee Parachute
",Saif Ali Khan,Prakash Jha,Amitabh Bachchan,Manoj Bajpai,Deepika Padukone",Aarakshan
",Mithun Chakraborty,Johnny Lever,T. L. V. Prasad,Sadashiv Amrapurkar",Do Numbri
",Hrithik Roshan,Rakesh Roshan,Ameesha Patel,Rajesh Roshan,Anupam Kher,Shivarajkumar,Farah Khan,Anupama Chopra",Kaho Naa... Pyaar Hai
