Charc,Movie
",Vinod Mehra,Amitabh Bachchan,Deven Verma,Uttam Kumar,R.D. Burman,Hrishikesh Mukherjee,Om Shivpuri,Aruna Irani,Anand Bakshi,Lata Mangeshkar,Kishore Kumar,Suresh Wadkar,A.K. Hangal",Bemisal
",Tapan Sinha",Safed Haathi
",Emraan Hashmi,Adhyayan Suman,Mohit Suri,Kangana Ranaut,Jackie Shroff,Mahesh Bhatt",Raaz  The Mystery Continues
",Suresh Oberoi,Mithun Chakraborty,Poonam Dhillon,Sharat Saxena",Main Aur Mera Haathi
",Mary Kom,Kim Hyang-mi,Sanjay Dutt",Mary Kom
",Ranbir Kapoor,Deepika Padukone,Siddharth Anand,Bipasha Basu,Minissha Lamba,Shah Rukh Khan,Yash Chopra,Amrita Rao,Joginder",Bachna Ae Haseeno
",François Bernier",Yatra
",Mithun Chakraborty,Ayesha Jhulka,Kiran Kumar,Moushumi Chatterjee,Puneet Issar",Muqaddar
",Karan Johar,Amitabh Bachchan,Kajol,Kareena Kapoor,Jaya Bachchan,Shah Rukh Khan,Hrithik Roshan,Yash Johar",Kabhi Khushi Kabhie Gham
",Hrishitaa Bhatt,Madhur Bhandarkar,Varsha Usgaonkar",Jigyaasa
",Akshaye Khanna,Yash Chopra,Rajesh Khanna",Ittefaq
",A. R. Rahman,Jackie Shroff,Pooja Bhatt,Anil Kapoor,Kumar Sanu",Kabhi Na Kabhi
",Rahat Fateh Ali Khan,Sarita Choudhury,Dalip Tahil,Arya Babbar",Aazaan
,Manzil
",Shah Rukh Khan,Katrina Kaif,Salman Khan,Kabir Khan,Ranvir Shorey,Gopi,Girish Karnad,Roshan Seth,Aditya Chopra",Ek Tha Tiger
",Hema Malini,Rajkumar Kohli,Sunil Dutt,Reena Roy,Raaj Kumar,Ranjeeta Kaur,Kamal Haasan,Yogeeta Bali",Raaj Tilak
",Neil Nitin Mukesh,Bipasha Basu,Rahul Dev,Sanjay Dutt,R.D. Burman",Aa Dekhen Zara
",Anupam Kher,Raghubir Yadav,Neha Dhupia,President Pratibha Patil",Gandhi to Hitler
",Ravi Kapoor,Raj Kaushal,Aashish Chaudhary,Divya Dutta,Sanjay Suri",Shaadi Ka Laddoo
",Paresh Rawal,Tusshar Kapoor,Emraan Hashmi,Isha Sharvani,Tanushree Dutta",Good Boy Bad Boy
",Prabhu Deva",ABCD 2
",Rekha,Mithun Chakraborty,Paresh Rawal,Raza Murad,Shafi Inamdar",Nishana
",Bhumika Chawla,Amitabh Bachchan,Salman Khan,Thangar Bachan,Pawan Kalyan,Prabhu Deva,Mahesh Babu,Gurdas Maan,Sameera Reddy",Bhumika
",Dilip Kumar,K. N. Singh",Jwar Bhata
",Hrithik Roshan,Katrina Kaif,Siddharth Raj Anand,Hamid Gul,Tom Cruise,Cameron Diaz",Bang Bang!
",Fardeen Khan,Richa Pallod,Ravi Shankar,Farida Jalal,Vikram Gokhale,William Shakespeare,Sharad Kapoor",Kuch Tum Kaho Kuch Hum Kahein
",Parambrata Chatterjee,Vidya Malvade",Yaara Silly Silly
",Vijaydan Detha",Kathputli
",Vinod Khanna,Thakur Shakti Singh,Rajinikanth",Insaniyat Ke Devta
,Green Card Fever
",Archana Puran Singh,Dimple Kapadia,Shakti Kapoor,Mithun Chakraborty,Aditya Pancholi,Rekha,Gulshan Grover,Rohini Hattangadi,Anupam Kher,Satish Shah",Ladaai
",Swaminarayan",Trimurti
",Preeti Jhangiani,Sunil Shetty,Sanjay Dutt,Vinod Kambli,Ashutosh Rana,Tinnu Anand,Johnny Lever",Annarth
,Flavours
",Rahul Khanna,Sharman Joshi,Tanushree Dutta,Anurag Singh,Raj Kanwar",Raqeeb
",Karan Johar,Shah Rukh Khan,Rishi Kapoor,Ram Kapoor,Hiroo Yash Johar,Farah Khan",Student Of The Year
",Akshay Kumar,Saif Ali Khan,Shilpa Shetty,Kumar Sanu,Sachin Bhowmick,Anu Malik,Asha Bhosle,Mukesh Khanna,Shakti Kapoor,Alisha Chinai,Abhijeet Bhattacharya,Alka Yagnik",Main Khiladi Tu Anari
",Ruskin Bond,Vishal Bhardwaj",The Blue Umbrella
",Kay Kay Menon,Rahul Bose,Javed Jaffrey,Deepak Dobriyal,Minissha Lamba,Tom Cruise",Shaurya
",Saif Ali Khan,Kunal Kohli,Rani Mukerji,Yash Chopra,Aditya Chopra,Shenaz Treasurywala,Rishi Kapoor,Prasoon Joshi,Abhishek Bachchan",Hum Tum
",Ram Mukherjee",Raja Ki Aayegi Baraat
,Krishan Avtaar
",Smita Patil,Farooq Sheikh,Muzaffar Ali,Nana Patekar,Suresh Wadkar,Jaidev,Jalal Agha",Gaman
",Rudolf Steiner,Caroline Myss",Chakra
,Company
",Akshay Kumar,Raakhee,Ranbir Singh,Anand Bakshi",Saugandh
",Salma Agha,Bappi Lahiri,Michael Jackson,Babbar Subhash,Smita Patil,Mithun Chakraborty,Karan Razdan,Kamal Hassan",Kasam Paida Karne Wale Ki
",Shah Rukh Khan,Naseeruddin Shah,Urmila Matondkar,Tinu Anand,Anand Bakshi,Anu Malik,Shammi Kapoor",Chamatkar
",Amitabh Bachchan,Bobby Deol,Akshay Kumar,Anil Sharma,Anu Malik,Sandali Sinha",Ab Tumhare Hawale Watan Saathiyo
",Ajay Sharma,Madhuri Dixit,Aamir Khan",Deewana Mujh Sa Nahin
",Rajesh Roshan,Dev Anand,Amjad Khan,Kader Khan,Shreeram Lagoo,Prem Chopra,Shakti Kapoor,Simple Kapadia,Nirupa Roy",Lootmaar
",Kader Khan,Amrita Singh,Prem Chopra,Shakti Kapoor,Mithun Chakraborty,Nirupa Roy",Charnon Ki Saugandh
",Durga,Amitabh Bachchan,Poonam Dhillon,Rajinikanth,Kamal Haasan,Satyendra Kapoor",Geraftaar
",Reena Roy,Dasari Narayana Rao,Akkineni Nageswara Rao,Moushmi Chatterji,Jaya Sudha",Pyaasa Sawan
",Balraj Sahni,Farooq Shaikh,Shama Zaidi,M. S. Sathyu,Ismat Chughtai,Ustad Bahadur Khan,Shyam Benegal",Garam Hawa
",Dev Anand,Ashok Kumar,Kumar Sanu,Anand Bakshi,Asha Bhosle,Sudesh Bhosle,Jackie Shroff,Vinod Rathod,Mohammed Aziz,Alka Yagnik,Udit Narayan",Return of Jewel Thief
,Khaan Dost
",Ustad Rashid Khan,Karan Johar,Shah Rukh Khan,Rizwan Khan,Kajol,Rizwan,Christopher B. Duncan",My Name Is Khan
",Rajesh Khanna,J. Om Prakash,Sanjeev Kumar,Mohan Babu,Anand Bakshi,Dasari Narayana Rao,Mohan,A. K. Hangal,Asrani,K. S. Sethumadhavan",Aap Ki Kasam
",Vilasrao Deshmukh,Genelia D'Souza,K. Vijaya Bhaskar,Shriya Saran,Ramoji Rao",Tujhe Meri Kasam
",Irrfan Khan,Ashutosh Rana,Tigmanshu Dhulia,Hrishita Bhatt,Rajpal Yadav",Haasil
",Shakti Kapoor,Shammi Kapoor,Arun Govil,Mithun Chakraborty,Poonam Dhillon",Baadal
",Kunal Kohli,Shahid Kapoor,Priyanka Chopra,Prasoon Joshi,Neha Sharma",Teri Meri Kahaani
",Gulzar,Vishal Bhardwaj,Chandrachur Singh",Maachis
,Lava
",Rakesh Roshan,Jaya,Shatrughan Sinha,Jeetendra,Jeffrey Archer,Amrita Singh",Khudgarz
",Amitabh Bachchan,Paresh Rawal,R. Balki",Cheeni Kum
",Feroz Khan,Bhumika Chawla,Anil Kapoor",Gandhi My Father
",Satyendra Kapoor,Raveena Tandon",Divya Shakti
",King David,Sir Thomas Malory",Trishna
",Sunny Leone,Ram Kapoor",Kuch Kuch Locha Hai
",Madhuri Dixit,Mithun Chakraborty,Bappi Lahiri,Vinod Mehra,Satish Kaushik",Prem Pratigyaa
",N. Chandra,Urmila Matondkar,Sunny Deol,Dimple Kapadia",Narsimha
",Raj Babbar,Sonu Walia",Agneekaal
",Kay Kay Menon,Arjun Mathur,Vikram Bhatt,Tisca Chopra",Ankur
",Begum Akhtar,Madhuri Dixit,Vishal Bharadwaj,Arshad Warsi,Abhishek Chaubey,Naseeruddin Shah,Kangana Ranaut,Salman Shahid",Dedh Ishqiya
",Rabindranath Tagore,Tarachand Barjatya,Jaya Bhaduri,Kamini Kaushal,Sudha",Uphaar
",Rajkumar Kohli,Deepti Bhatnagar,Sonali Bendre,Sunil Shetty,Anu Malik,Sunny Deol",Qahar
",William Blake",Baby
",Shakti Kapoor,Anupam Kher,Smita Jaykar,Jagmohan Mundhra,Judd Apatow,Anupama Chopra",Naughty @ 40
",Shah Rukh Khan,Salman Khan,Madhuri Dixit,Suman Ranganathan,Aamir Khan,Uttam Singh,Atul Agnihotri,Alok Nath,Aruna Irani,Sunny Deol",Hum Tumhare Hain Sanam
,Darr @ the Mall
",Smita Patil,Rajesh Khanna,Shafi Inamdar,Ravi Tandon,Sridevi",Nazrana
",Shammi Kapoor,Asha Parekh,Shakti Samanta,Prem Chopra,Mohammed Rafi,Mani Ratnam,Kamal Hassan",Pagla Kahin Ka
",Sachin Yardi,Tusshar Kapoor",Kyaa Super Kool Hai Hum
",Juhi Chawla,Shahid Kapoor,Vidya Balan,Aziz Mirza,Shah Rukh Khan,Lindsay Lohan,Shabbir Ahmed",Kismat
",Majid Majidi,Jack Neo,Roger Ebert,Roberto Benigni,Vittorio de Sica",Salaam Bacche
",Andy Warhol,John Nyren,John Small,Mary Woronov,Jack Smith,Katy Perry,Rock Hudson",Superstar
",Emraan Hashmi,Tanushree Dutta,Sonu Sood,Himesh Reshammiya",Aashiq Banaya Aapne
",Shakti Kapoor,Aamir Khan,Pran,Farha Naaz,Asrani",Isi Ka Naam Zindagi
",Amar Doraiswamy,S. D. Burman,Kamini Kaushal,Yash Chopra,Abhi Bhattacharya,Dharmendra,Uma Devi",Ishq Par Zor Nahin
,Say Yes to Love
",Rajesh Khanna,Farha Naaz,B.R. Ishara",Woh Phir Aayegi
",Smita Patil,Raj Babbar",Bheegi Palkein
",Mithun Chakraborty",Sautela
,Vaada
",Amitabh Bachchan,Bhushan Kumar,Boman Irani",Bhoothnath Returns
",Rituparno Ghosh",Memories in March
",Reena Roy,Amrish Puri,Nirupa Roy,Dharmendra,Dara Singh",Main Intequam Loonga
",Sanjay Dutt,Anupam Kher,Rinke Khanna,Rati Agnihotri,Salman Khan,David Dhawan,Rishi Kapoor,Kader Khan,Amisha Patel,Sharad Kapoor,Himesh Reshammiya",Yeh Hai Jalwa
",Abhishek Bachchan,Amitabh Bachchan,Rani Mukerji,Gulzar,Aditya Chopra,Shaad Ali,Yash Chopra,Tania Zaetta,A. R. Rahman",Bunty Aur Babli
",Venniradai Moorthy",Devi Aur Durga
",Kabir,Mohit Suri,Ashutosh Rana,Emraan Hashmi,Mustafa Zahid,Shriya Saran,Purab Kohli",Awarapan
,Loot
",Leela Chitnis,Anand Bakshi,Tarachand Barjatya,Raja Ranbir Singh,Supriya Devi,Alexandre Dumas,Uttam Kumar,Rakhee",Jeevan Mrityu
",Arjun Mathur,Vijay Raaz,Naseeruddin Shah,Tannishtha Chatterjee",Barah Aana
",Karan Kapoor",Mumbai Salsa
",Viju Khote,Marc Zuber,Praveen Kumar",Dak Bangla
",Farhan Akhtar,Saif Ali Khan,Dimple Kapadia,Preity Zinta,Sonali Kulkarni,Aamir Khan,Akshaye Khanna",Dil Chahta Hai
",Satyajit Ray",Sacred Evil  A True Story
",Sridhar Rangayan",The Pink Mirror
",Mithun Chakraborty,Anupama Chopra,Vishal Bhardwaj,Monty Sharma",Hawaizaada
",Abhay Deol,Neha Dhupia,Sanjay Khanduri,Vivek Oberoi,Mallika Sherawat",Ek Chalis Ki Last Local
",Jackky Bhagnani,Arshad Warsi,Vashu Bhagnani,Irrfan Khan",Welcome 2 Karachi
",Deepika Padukone,Bipasha Basu,Saif Ali Khan,Kareena Kapoor,John Abraham,Ameesha Patel,Anil Kapoor,Armaan Malik,Aditya Pancholi,Shah Rukh Khan,Abraham",Race 2
,Guddi
",Mohanlal,Ekta Kapoor",Drishyam
",Kareena Kapoor,Shahid Kapoor,Imtiaz Ali,Dara Singh,Pavan Malhotra",Jab We Met
,Kidnap
",Smita Patil,Reena Roy,Kulbhushan Kharbanda,Mithun Chakraborty,Gulzar,Amitabh Bachchan,J. P. Dutta,Om Shivpuri,Naseeruddin Shah,Raza Murad,Anita Raj",Ghulami
",Mamta Kulkarni,Alok Nath,Shakti Kapoor,Mithun Chakraborty,Atul Agnihotri,Jaya Pradha",Jeevan Yudh
",Sheela,Mithun Chakraborty,Rishi Kapoor,Jeetendra,Kimi Katkar,Raakhee",Dhuaan
",Subhashini,Shabana Azmi,Amitabh Bachchan,Javed Akhtar,Kaifi Azmi,Tinnu Anand,Frank Capra,Manohar Singh",Main Azaad Hoon
",Akshay Kumar,Inspector Vikram Singh,Sunil Shetty,Shatrughan Sinha,Paresh Rawal,Jackie Shroff,Raveena Tandon,Yusuf Pathan,Lara Dutta,Irrfan Khan,Madhur Bhandarkar,Amitabh Bacchan,Preeti Jhangiani",Aan: Men at Work
",Sonu Sood,Ravindra Jain,Rakhee Gulzar",Ek Vivaah... Aisa Bhi
",Anil Kapoor,Kimi Katkar,Poonam Dhillon,Dharmendra",Sone Pe Suhaaga
",Vinod Mehra,Anand Bakshi,Smita Patil,J. Om Prakash,Anil Kapoor,Utpal Dutt,Lata Mangeshkar,Rati Agnihotri,Anuradha Paudwal",Aap Ke Saath
",Shekhar Kapoor,Rajesh Khanna,Asit Sen,Sharmila Tagore,Ashok Kumar,Feroz Khan",Safar (film)
",Raveena Tandon,Shakti Kapoor,Kader Khan,Johnny Lever,Asrani",Akhiyon Se Goli Maare
",Karisma Kapoor,Alka Yagnik,Dharmesh Darshan,Aamir Khan,Shashi Kapoor,Suneel Darshan,Himesh Reshammiya,Upendra,Udit Narayan,Sakshi Shivanand,Nusrat Fateh Ali Khan,Juhi Chawla,Archana Puran Singh",Raja Hindustani
",Kishore Kumar,Joy Mukherjee,Waheeda Rehman,Ashok Kumar,Asha Bhonsle",Love in Bombay
",Ilene Hamann,Irrfan Khan,Pooja Bhatt,Mahesh Bhatt,M. M. Kreem",Rog
",Rajesh Khanna,Shabana Azmi,Padmini Kohlapure",Thodisi Bewafaii
",Heraclitus,Thomas Hobbes,Aristotle,John Locke",Ship of Theseus
",Anil Kapoor,Dilip Kumar,Waheeda Rehman,Rati Agnihotri,Alok Nath,Ashok Kumar,Gulshan Grover,Saeed Jaffery,Yash Chopra,Madan Puri,Amitabh Bachchan,Nilu Phule,Kamal Haasan,Satyen Bose",Mashaal
",Hrithik Roshan,Amisha Patel,Rajesh Roshan,Vikram Bhatt,Anu Malik,Mukesh Tiwari,Kiran Kumar",Aap Mujhe Achche Lagne Lage
",Dimple Kapadia,Raj Babbar",Zakhmi Aurat
",Anuj Sawhney",Nayee Padosan
",Sanjay Leela Bhansali,Divya Dutta,Kalki Koechlin,Arjun Mathur,Shruti Seth",My Friend Pinto
",Actor Shah Rukh Khan,Raj Kapoor,Kajol,Rohit Shetty,Gauri Khan",Dilwale
",Thakur Suraj Singh,Farida Jalal,Amjad Khan,Moushumi Chatterjee,Shatrughan Sinha,Nirupa Roy,Raaj Kumar",Chambal Ki Kasam
",Thakur Vikram Singh,Anita Raj,Madan Puri,Rakesh Roshan,Rajinikanth,Ranjeeta Kaur,Silk Smitha",Jeet Hamaari
",Vikram Singh,Akhilendra Mishra",Ya Rab
",Alok Nath,Farah Naaz",Zakhmo Ka Hisaab
",Anupam Kher,Sanjay Dutt,Monica Bedi,Twinkle Khanna,David Dhawan,Aashif Sheikh",Jodi No.1
",Prophet Mohammed,Abu Bakr,Ali ibn Abi Talib",Khalifa
",Jackie Shroff,Mithun Chakraborty,Johnny Lever,T. L. V. Prasad",Ustadon Ke Ustad
",Gulzar,Waheeda Rehman,Sharmila Tagore,Sanjeev Kumar,Kishore Kumar,Shabana Azmi,Asha Bhonsle,Supriya Pathak,Rekha",Namkeen
",Arshad Warsi,Sushant Singh,Suhasini Mulay,Kabeer Kaushik,Mahima Chaudhary",Sehar
,Mastram
",Gulzar,Sanjeev Kumar,Suchitra Sen,Vyjayanthimala,Kishore Kumar,Tarkeshwari Sinha,Sachin Bhowmick,Lata Mangeshkar",Aandhi
",Kamal Hassan,Amrish Puri,Paresh Rawal,Ayesha Jhulka,Rajendranath Zutshi,Johnny Walker",Chachi 420
,Sagina
",Salman Khan,Akshay Kumar,Anupam Kher,Preity Zinta,Shirish Kunder,Sajid Nadiawala,Boney Kapoor,Anu Malik,Shahrukh Khan",Jaan-E-Mann
",Javed Jaffrey,Naseeruddin Shah,Aditya Pancholi,Amrish Puri,Shikha Swaroop",Tahalka
",Kamal Haasan,Rati Agnihotri,Virendra Sharma",Dekha Pyar Tumhara
",Amol Palekar,Sridevi,Kulbhushan Kharbanda,Kamal Hassan,Dina Pathak",Solva Sawan
",Shilpa Shetty,Anand Raj Anand,Raveena Tandon,Satish Kaushik,Virendra Saxena",Pardesi Babu
",Sarika",Red Swastik
",Mani Shankar,Bobby Deol,Sunil Shetty,Sanjay Dutt,Anu Malik,Nandana Sen",Tango Charlie
",Aruna Irani,Sunil Shetty,Karisma Kapoor,Raghu,Alok Nath,Sonali Bendre",Rakshak
",B. Subhash,Rahul Roy",Pyaar Ka Saaya
",Aamir Khan,Shah Rukh Khan,Chinni Jayanth,Sharad Joshi,Juhi Chawla,Om Puri",Aatank
",Kapil,Akshay Kumar,Sunil Shetty,Arshad Warsi,Sunny Deol,Sharad Kapoor,Aftab Shivdasani,Rajkumar Kohli,Sonu Nigam,Manisha Koirala,Kiran Rathod,Aditya Pancholi",Ek Anokhi Kahani
",Ranbir Kapoor,Sonam Kapoor,Rishi Kapoor,Sanjay Leela Bhansali,Rani Mukerji,Fyodor Dostoevsky,Neetu Singh",Saawariya
",Raghubir Yadav,Ravi Chopra,Kunal Ganjawala,Gayatri Ganjawala",Yeh Khula Aasmaan
",Kailash Kher,Arshad Warsi,Shibani Kashyap,Shashanka Ghosh,Prashant Narayanan,Sandhya Mridul,Mahima Chaudhry,Ranvir Shorey,Quentin Tarantino,Ram Gopal Varma,Maria Goretti,Ramesh Sippy,Rabbi Shergill,Shruti Seth,Takeshi Kitano,Mahesh Manjrekar",Waisa Bhi Hota Hai Part II
",Kangana Ranaut,R. Madhavan,Saroj Khan,Eijaz Khan,Shahid Kapoor",Tanu Weds Manu Returns
",Archana Gupta,Jaya Bhaduri,Lata Mangeshkar,Kishore Kumar,Deven Verma,Achala Sachdev,Suchitra Sen,A.K. Hangal",Kora Kagaz
,Purani Jeans
",Roop Kumar Rathod,Shamita Shetty,Atif Aslam,Udita Goswami,Emraan Hashmi,Anu Malik,Mohit Suri,Mahesh Bhatt,Denzel Washington,Eva Mendes,Shreya Ghoshal,Udit Narayan",Zeher
,Traffic Signal
",Kamal Haasan,M. S. Viswanathan",Afsana Do Dilon Ka
",Sheela,Jeetendra,Rekha,Shakti Kapoor,Sudha Chandran,S. A. Chandrasekhar,Kader Khan",Insaaf Ki Devi
",Anant Mahadevan,Vinay Pathak,Konkona Sen Sharma,Tannishtha Chatterjee,Ranvir Shorey,L. Subramaniam",Gour Hari Dastaan
",Rishi Kapoor,Zeenat Aman,Amjad Khan,Ranbir Kapoor,Nasir Hussain,Mohammad Rafi,Jalal Agha,Tom Alter,Om Shivpuri,Majrooh Sultanpuri",Hum Kisi Se Kum Nahin
",Shashi Kapoor,Sharmila Tagore,Mohammad Rafi,Anand Bakshi",Suhana Safar
",Sanjay Dutt,Chunky Pandey,Juhi Chawla,Bhanupriya",Zahreelay
,Rann
,Ishqedarriyaan
",Sunil Shetty,Mammootty",Krodh
",Dino Morea,Sunil Shetty,Karisma Kapoor,Jackie Shroff,Preeti Jhangiani,Rani Mukherjee,Suhasini Mulay,Saif Ali Khan",Baaz: A Bird in Danger
",Hema Malini,Suresh Oberoi,Padmini Kohlapure,Kamal Haasan,Raaj Kumar",Ek Nai Paheli
",Raveena Tandon,Anil Kapoor,Satish Kaushik,David Dhawan,Anu Malik,Pandiarajan,Kader Khan",Gharwali Baharwali
",Jeetendra,Kamini Kaushal",Bikhare Moti
",Mithun Chakraborty,Aamir Khan,Bappi Lahiri,Karan Razdan,Adam Sandler,Parvati Khan",Disco Dancer
",Amjad Khan,Mithun Chakraborty,Danny Denzongpa,Deepak Bahry,Vijayendra Ghatge",Hum Se Badkar Kaun
",Shah Jahan,Empress Noor Jahan,Taj Mahal,Emperor Jahangir,Naushad Ali,Arbaaz Khan,Pooja Batra,Akbar,Kabir Bedi,Sonya Jehan",Taj Mahal: An Eternal Love Story
",Muhammad",Ishq
",Yash Chopra,Sridevi,Waheeda Rehman,Anupam Kher,Anil Kapoor,Shiv Kumar Sharma",Lamhe
",Salman Khan,Saloni Aswani,Angelina Jolie,Prem Chopra,Johny Lever",Saawan... The Love Season
",Bobby Deol,Nusrat Fateh Ali Khan",Aur Pyaar Ho Gaya
",Shweta Tiwari,Anand Raj Anand,Mallika Sherawat,Aftab Shivdasani,Vijay Raaz,Rajpal Yadav,Om Puri,Gulshan Grover,Shakti Kapoor,Manoj Joshi,Rati Agnihotri",Bin Bulaye Baraati
",Ram,Shatrughan Sinha,Raj Khosla,Moushumi Chatterjee,Usha Khanna,Neetu Singh,Ranjeet,Asrani",Ab Kya Hoga
",Kishore Kumar,K. N. Singh",Badhti Ka Naam Dadhi
",Asawari Joshi,Deven Bhojani",Chala Mussaddi... Office Office
",Paresh Rawal,Salman Khan,Mithun Chakraborty,Sukanya Verma,Shabbir Ahmed,Faisal Saif,Swanand Kirkire,Sudeep",Oh My God
",Akbar",Sindoor
",Basu Chatterjee,Ashok Kumar,Rati Agnihotri,Mithun Chakraborty,Utpal Dutt,A. K. Hangal",Pasand Apni Apni
",Rama,J. Robert Oppenheimer",Kaal
",Kay Kay Menon,Mithun Chakraborty,Sunil Shetty,Johnny Lever,Bappi Lahiri",Enemmy
",Rahul Bose,Shefali Shah,Vipul Amrutlal Shah,Shah,Aparna Sen,Neetu Chandra",Kucch Luv Jaisaa
",Ferdinand Magellan",Samar
",Hema Malini,Rishi Kapoor,Vinod Khanna,Esha Deol,Arjan Bajwa,Colonel Ravi Kapoor,Salman Khan,Farooq Sheikh,Meltem Cumbul,Dharmendra",Tell Me O Kkhuda
",J. Om Prakash,Reena Roy,Hrithik Roshan,Sivaji Ganesan,Sridevi,Girish Karnad",Aasha
",Kabir",Dil Hi To Hai
",Neelam Kothari,Kumar Gaurav,Amitabh Bachchan,Tiger Prabhakar,Kader Khan,Sadashiv Amrapurkar",Indrajeet
",Anup Jalota",Boyss Toh Boyss Hain
,Abodh
",Kay Kay Menon,Rajpal Yadav,Rituparna Sengupta,Chandan Arora",Main Meri Patni Aur Woh
,Ansh: The Deadly Part
",Emraan Hashmi,Mohit Suri,Prashant Narayanan,Mithoon,Yana Gupta,Bipasha Basu",Murder 2
",Adhyayan Suman,Neelima Azeem,Rati Agnihotri",Dehraadun Diary
",Farhan Akhtar,Priyanka Chopra,Zoya Akhtar,Sukhwinder Singh,Kareena Kapoor,Aamir Khan,Anil Kapoor,Anushka Sharma,Kabir Mehra,Shefali Shah,Rahul Bose",Dil Dhadakne Do
",Arshad Warsi,Shilpa Shetty,Ajay Devgan,Aamir Khan,Ayesha Jhulka,Mamta Kulkarni,Sunny Deol,Sonali Bendre",Pyaar Ki Jeet
",Aamir Khan,Abhinay Deo,Imran Khan,Vir Das,Vijay Raaz,Kiran Rao",Delhi Belly
",Shyam Ramsay,Shakti Kapoor,Arbaaz Ali Khan,Irrfan Khan",Neighbours: They Are Vampires
",Shahid Kapoor,Genelia D'Souza,Farah Khan,Ken Ghosh,Ronnie Screwvala,Katrina Kaif,Kunal Khemu,Adnan Sami",Chance Pe Dance
",Amitabh Bachchan,Sanjay Dutt,Kumar Gaurav,Lucky Ali,Sanjay Gupta,Suniel Shetty,Quentin Tarantino,Malaika Arora,Mahesh Manjrekar,Namrata Singh Gujral,Shilpa Shetty,Ringo Lam,Anand Raj Anand,Gulshan Grover,Rati Agnihotri",Kaante
",Rajesh Roshan,Amol Palekar,Basu Chatterjee,Ranjit Chowdhry,Asha Bhosle,Patrick Gilmore,Asrani,Amit Kumar",Baton Baton Mein
",Rahul Bose,Anant Balani,Saurabh Shukla,Vijay Raaz,Perizaad Zorabian",Mumbai Matinee
",Akshay Kumar,Ayesha Jhulka",Dil Ki Baazi
",Rajesh Khanna,Ashok Kumar,Mahendra Kapoor,Mohanlal,Smita Patil,Shafi Inamdar,Raj Babbar,Nana Patekar,Poonam Dhillon",Awam (film)
",Katrina Kaif,Imran Khan,Ali Zafar,Preity Zinta,Parikshat Sahni,Aditya Chopra",Mere Brother Ki Dulhan
",Elizabeth Siddal,Dante Gabriel Rossetti,Lucille Ball",Henna
",Azhar Khan,Lara Dutta,Akshay Kumar,Esha Deol,Koena Mitra,Laila Mehdin,Himesh Reshammiya,Rahul Dev,Tusshar Kapoor",Insan
",Akshay Kumar,Vipul Shah,Kapil",Holiday: A Soldier Is Never Off Duty
",Sulakshana Pandit,Jeetendra",Kasum Khoon Ki
",Sonam Kapoor,Pulkit Samrat,Saif Ali Khan",Dolly Ki Doli
",Anu Malik,Kareena Kapoor,Hrithik Roshan,Abhishek Bachchan,Sooraj Barjatya,Himani Shivpuri",Main Prem Ki Diwani Hoon
",Madhuri Dixit,Juhi Chawla,Tannishtha Chatterjee",Gulaab Gang
",Neetu Singh",Khoon Ka Rishta
,Jagir
",Mithun Chakraborty,Shilpa Shirodkar,Kader Khan,Ramesh Sippy,Sumalatha",Swarg Yahan Narak Yahan
",Vidya Balan,Emraan Hashmi,Ronnie Screwvala,Amit Trivedi,Parvin Dabas",Ghanchakkar
",Dev Anand,Jackie Shroff,Naseeruddin Shah,Mithun Chakraborty,Padmini Kohlapure,Christine O'Neil",Swami Dada
",Divya Dutta,J. P. Dutta,Shabana Azmi,Abhishek Bachchan,Sunil Shetty,Saif Ali Khan,Puru Raajkumar,Himani Shivpuri,Kulbhushan Kharbanda,Arshad Warsi,Ayesha Jhulka",Umrao Jaan
",Saif Ali Khan,Kareena Kapoor,Aamir Khan,Zoya Akhtar,Javed Akhtar,Rani Mukerji",Talaash
",Madhuri Dixit,Aditya Pancholi,Saroj Khan,Bappi Lahiri,Aadesh Shrivastava,Suresh Oberoi",Sailaab
",Raveena Tandon,Sanjay Kapoor,Alfred Hitchcock,Arbaaz Khan,Danny Denzongpa,Aditi Govitrikar",Soch
",Bobby Deol,Dharmendra,Sunny Deol,Anil Sharma,Kiron Kher,Shilpa Shetty,Himesh Reshammiya,Katrina Kaif,Sonu Nigam",Apne
",Hansika Motwani,Aftab Shivdasani,Prem Chopra,Upen Patel,Esha Deol,Archana Puran Singh,Antara Biswas",Money Hai Toh Honey Hai
",Ashok Kumar,Jeetendra,Nutan,Nirupa Roy",Maa Aur Mamta
",Mr. Amitabh Bachchan,Rani Mukerji,Satyajit Ray,Zoya Akhtar,Dibakar Banerjee,Mr. Dilip Kumar,Katrina Kaif,Randeep Hooda,Nawazuddin Siddiqui,Sadashiv Amrapurkar,Karan Johar",Bombay Talkie
",Jackie Shroff,Amisha Patel,Aftab Shivdasani,Anupama Verma,Ashish Vidyarthi",Kya Yehi Pyaar Hai
",Winfield R. Sheehan,Billy Sheehan,Bobby Sheehan,Cindy Sheehan,Tom Sheehan,Michael Jarboe Sheehan,Patty Sheehan,Robert Sheehan,D. D. Sheehan",Sheesha
",Mithun Chakraborty",Insaaf Ki Jung
,Tyagi
",Christy Turlington,Linda Evangelista,Naomi Campbell,Beverly Johnson,Cindy Crawford,Christie Brinkley,Kate Moss,Tatjana Patitz,Claudia Schiffer,Chanel Iman,Margaux Hemingway,Janice Dickinson,Henry Stacy Marks,Jean Shrimpton",Super Model
