A,B,C,D,E,F,G,H,I
Suicide,Suicide methods,Asthma,Inhaler,Homicide,Murder,Evidence,Nebulizer,Maharathi
Family,Son,Kanye West,I Believe,Dream,Truth,Mental illness,Secrets,Mahashakti
Family,Daughter,Death,Son,Marriage,Old age,Gerontology,Ageing,Mai...
Indian film actors,Poonam Dhillon,NaN,NaN,NaN,NaN,NaN,NaN,Main Aur Mera Haathi
Newspaper,High-rise,Amitabh Bachchan,Mass media,Journalism,Storey,Suicide,Politicians,Main Azaad Hoon
Marriage,Prisoner of war,Rama,Legitimacy,Indian actors,NaN,NaN,NaN,Main Hoon Na
Family,Parent,Marriage,Murder,Father,Mother,Truth,Capital punishment,Main Intequam Loonga
KILL,Sibling,Hero,Love,Robots in Disguise,Cabaret,Romanticism,Family,Main Khiladi Tu Anari
Krishna,God,Family,Vishnu,Adoption,Orphanage,Vaishnavism,"Adoption, fostering, orphan care and displacement",Main Krishna Hoon
Bollywood,Madhuri Dixit,Marriage,Costume design,Arranged marriage,Shahrukh Khan,Learning,Mumbai,Main Madhuri Dixit Banna Chahti Hoon
Marriage,Kay Kay Menon,"Main, Meri Patni Aur Woh",Love,Husband,Wife,Indian film actors,Spouse,Main Meri Patni Aur Woh
Marriage,Love,Mother,Family,Truth,Arranged marriage,Father,Friendship,Main Prem Ki Diwani Hoon
Love,Humour,Amusement,Truth,Humor,Comedy,Hotel,The Guard,Main Sunder Hoon
Capital punishment,Crimes,Sergeant,NaN,NaN,NaN,NaN,NaN,Main Tera Dushman
Love,Marriage,Family,Romance,Whyos,NaN,NaN,NaN,Main Tera Hero
Marriage,English-language films,KILL,Family,Legitimacy,Boarding school,The Climax,The Elder Brother,Main Tulsi Tere Aangan Ki
Marriage,Love,City,Family,Interpersonal relationship,Middle class,NaN,NaN,Main Zinda Hoon
Ramadan,Eid ul-Fitr,Love,Eid al-Adha,KILL,Sawm,Mosque,Inspector,Maine Dil Tujhko Diya
Maine Gandhi Ko Nahin Mara,Urmila Matondkar,Mohandas Karamchand Gandhi,The Downward Spiral,NaN,NaN,NaN,NaN,Maine Gandhi Ko Nahin Mara
Marriage,Love,Divorce,Alimony,Wife,Woman,Family,Husband,Maine Pyaar Kyun Kiya?
Marriage,Love,Friendship,Family,Platonic love,KILL,Turn,NaN,Maine Pyar Kiya
Family,Marriage,Love,Wife,Husband,Lawyer,Spouse,2009 ISSF World Cup,Majaal
Capital punishment,Crime,English-language films,Murder,Prison,Capital punishment in the United States,Brain tumor,Death penalty,Majboor
Love,Marriage,Interpersonal relationship,Romance,Family,Divorce,Intimate relationship,NaN,Majhdhaar
Family,Love,Son,Plot,Accept,NaN,NaN,NaN,Major Saab
Villager,James Newton Howard,Jennifer Tilly,Village,Eddie Murphy,Haunted Mansion,Twin,The Little Girl,Makdee
Lottery,Rigor mortis,Village,Death,National Lottery,Villager,The Commission,Secret,Malamaal Weekly
Family,Marriage,Teacher,School,Education,Mahr,NaN,NaN,Man Ki Aankhen
Music,English-language films,The Bet,Unfortunately,Singing,Bet,Opera,Etiquette,Man Pasand
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Manchali
Indian independence movement,Indian Rebellion of 1857,Mohandas Karamchand Gandhi,British Raj,British Empire,India,Musket,Indian National Congress,Mangal Pandey: The Rising
Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,Petroleum,Adulterant,Shanmughan Manjunath,States and territories of India,Dudhwa National Park,Manjunath
Marriage,Love,Engagement,Family,NaN,NaN,NaN,NaN,Mann
Doctor,Doctor,NaN,NaN,NaN,NaN,NaN,NaN,Manorama Six Feet Under
Police,Woman,Arrest,The Police,Prostitution,NaN,NaN,NaN,Manoranjan
Caste system in India,Cooperative,Girish Karnad,Village,Marriage,Villager,NaN,NaN,Manthan
Lawyer,Family,The Help,Man,Galvanometer,Girl,NaN,NaN,Manzil
Macbeth,Gang,Naseeruddin Shah,Maqbool,William Shakespeare,Tragic hero,Bloods,Organized crime,Maqbool
Family,School,Teacher,Son,Education,Evidence,Mother,Love,Maqsad
Indian actors,Dance Dance,Jallaad,Mujrim,Gunda,Baabarr,Agneepath,Indian film actors,Mar Mitenge
British Empire,Mard,Titles in India,British Raj,Slavery,Woman,Labor camp,NaN,Mard
Police,Gang,Organized crime,Constable,Police officer,Police brutality,Drug,The Police,Mardaani
Love,Tell,Creative writing,NaN,NaN,NaN,NaN,NaN,Margarita with a Straw
Marriage,Engagement,Wedding,Love,Family,Arranged marriage,Actor,NaN,Marigold
KILL,Crime,Capital punishment,Gang,Black-and-white films,Life imprisonment,American films,Murder,Marte Dam Tak
Boxing,World Amateur Boxing Championships,Marriage,Combat sports,Jonathan Coachman,Championship,Amateur boxing,Ventricular septal defect,Mary Kom
Truth,Krishna,NaN,NaN,NaN,NaN,NaN,NaN,Mashaal
Marriage,Family,Affair,Husband,Want,Wife,WANT,Son,Masoom
Marriage,Family,NaN,NaN,NaN,NaN,NaN,NaN,Masterji
Marriage,Husband,Wife,Gender,Spouse,Family,Men,Human sexuality,Masti
Life,Publishing,Town,Erotica,Spice,NaN,NaN,NaN,Mastram
Tamil Nadu,Jesus,Milk,Thanjavur,Thanjavur district,Infant,Family,Mary,Mata Velankanni
Marriage,Mao Zedong,Mao Tse-tung: Ruler of Red China,Love,Alcoholism,Wedding,NaN,NaN,Matru Ki Bijlee Ka Mandola
Boy,Marriage,Female,Girl,Family,Harold Pinter,Man,Pregnancy,Matrubhoomi: A Nation Without Women
Family,Love,Death,Return,Promise,Autumn,Childbirth,The Return,Mausam
Love,Indian actors,Marriage,Sharaabi,Priyadarshan,NaN,NaN,NaN,Mawaali
KILL,Family,Mumbai,Mumbai Police,Supriya Pathak,Shoot,History of Mumbai,NaN,Maximum
Family,Mother,Cousin,Father,NaN,NaN,NaN,NaN,Maya
Family,Marriage,Human sexuality,The Help,Reputation,Employment,NaN,NaN,Mazdoor
Family,Marriage,Krishna,Wife,Provinces and territories of Canada,Husband,Uttar Pradesh,Meera,Meera
Marriage,Family,Mother,Widow inheritance,Father,Wife,English-language films,NaN,Meerabai Not Out
Marriage,Wife,Family,Husband,Indian film directors,Indian film actors,Spouse,Cinema of India,Meethi Meethi Baatein
Family,Son,Marriage,Love,Daughter,Arrangement,Disability,Wheelchair,Mehboob Ki Mehndi
Marriage,Love,Reincarnation,Singing,Heavy metal music,Gypsy,Arranged marriage,Gypsy: A Musical Fable,Mehbooba
Family,Marriage,Love,Mother,Wife,Divorce,Alimony,Monogamy,Mehndi Rang Layegi
Law,The Accused,Truth,English-language films,Harassment,The Police,NaN,NaN,Meinu Ek Ladki Chaahiye
Tram accident,Accidents,2002 albums,English-language films,Accident,Cremation,Employment,Crematory,Memories in March
Bangladesh,Pakistan,Police,Andy Summers,Mukti Bahini,Sting,Abuse,Military,Mera Desh Mera Dharam
Marriage,Personal life,Love,Family,Happiness,Same-sex marriage,Lifestyle,Positive psychology,Mera Saathi
Death,Town,Childhood,NaN,NaN,NaN,NaN,NaN,Mere Apne
Marriage,Family,Arranged marriage,Divorce,Love,Black-and-white films,English-language films,Wedding,Mere Baap Pehle Aap
Taj Mahal,Marriage,Love,Agra,Shah Jahan,Mughal Empire,Tourism in Uttar Pradesh,Mumtaz Mahal,Mere Brother Ki Dulhan
Marriage,English-language films,Gift,Family,Wedding,Automobile,Rock music,Father,Mere Dad Ki Maruti
Film,Film industry,Bollywood,Cinema of India,Film director,Entertainment,Asha Bhosle,NaN,Mere Dost Picture Abhi Baki Hai
Marriage,English-language films,Love,Woman,Wife,Father,Actor,Family,Mere Humsafar
Love,Autumn,Soap opera,NaN,NaN,NaN,NaN,NaN,Mere Saath Chal
Juhi Chawla,Indian actors,NaN,NaN,NaN,NaN,NaN,NaN,Mere Sajana Saath Nibhana
Marriage,Family,Wife,Love,Mother,Husband,Spouse,Friendship,Mere Sajna
Marriage,Love,Wedding,Interpersonal relationship,Friendship,Affection,Platonic love,Family,Mere Yaar Ki Shaadi Hai
Gangster,Prison,Life imprisonment,Gang,Criminology,Prison gang,Sociology,Secret,Meri Aawaz Suno
Indian film actors,Love,Interpersonal relationship,Filmfare Awards winners,Indian actors,Romance,Hindi film actors,Friendship,Meri Adalat
Police,Unfortunately,Sibling,Truth,Robots in Disguise,NaN,NaN,NaN,Meri Biwi Ka Jawab Nahin
Marriage,Adultery,Physician,Patient,English-language films,Medical terms,Hospital,Medical diagnosis,Meri Biwi Ki Shaadi
Lawyer,Capital punishment,Family,Bhagavad Gita,Psychiatric hospital,Hanging,NaN,NaN,Meri Jung
Love,Marriage,Family,Mother,Divorce,Father,Parent,NaN,Miley Naa Miley Hum
Love,Medicine,Disease,Cure,Pernicious anemia,Death,Romance,Demography,Mili
Military,Police,Army,Combat,Soldier,Crime,Security,Sociology,Military Raaj
Village,Villager,Face,Turn LP,Turn,NaN,NaN,NaN,Mirch Masala
Marriage,Judge,Hearing,Trial,Legal terms,Jury,The Police,Affair,Miss Tanakpur Haazir Ho
Terrorism,KILL,Afghanistan,Thirteenth floor,Year of birth missing,Ghazni,Friday the 13th,British television presenters,Mission Istaanbul
Idi Amin,Kampala,Yoweri Museveni,Milton Obote,Black people,Racism,President of Uganda,Uganda,Mississippi Masala
Tamil Nadu,Online chat,Divya Bharti,Vishnu,Marriage,Chat room,NaN,NaN,Mitr My Friend
Marriage,Family,A Marriage Proposal,Proposal of marriage,NaN,NaN,NaN,NaN,Mittal v/s Mittal
Marriage,Family,Love,Divorce,Mahr,NaN,NaN,NaN,Mohabbat
Love,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mohabbatein
Murder,KILL,Prison,Life imprisonment,Homicide,Capital punishment,Crimes,Police,Mohra
Newspaper,Advertising,Printing press,Female,Printing,American football,Boy,Indian films,Mohre
The Streets,Clothing,English-language films,Happiness,The Extra,Indian films,Copy,Copywriting,Money Hai Toh Honey Hai
Love,Personal life,Psychology,Who Wants to Be a Millionaire?,Human sexual behavior,NaN,NaN,NaN,Monica
Andhra Pradesh,Singing,Violin,Carnatic music,India,Karnataka,Ganesh Chaturthi,Vocal range,Morning Raga
Marriage,Family,NaN,NaN,NaN,NaN,NaN,NaN,Mother
English-language films,Hotel,Quest,Quest,Jean-Claude Van Damme,Santosh Sivan,NaN,NaN,Mr Joe B. Carvalho
Woman,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mr Ya Miss
Marriage,Wife,Family,Husband,Mother,Spouse,Love,Accept,Mr. Bechara
Orphan,As Time Goes By,Invisibility,Mr. India,NaN,NaN,NaN,NaN,Mr. India
Police,Organized crime,Boy,Crimes,NaN,NaN,NaN,NaN,Mr. Natwarlal
Gang,Bloods,NaN,NaN,NaN,NaN,NaN,NaN,Mr. White Mr. Black
KILL,Murder,A Quiet Place,Ultraviolet,Marriage,Who Wants to Be a Millionaire?,NaN,NaN,Mr. X
English-language films,American films,Francis Ford,Andy Summers,Academy Award for Best Actor,Prince,Punishment,The Police,Mrigayaa
Suicide,KILL,Death,Suicide methods,Prison,Muslim Rajputs,Aafia Siddiqui,Power,Mrityudata
Mughal Empire,Jahangir,Family,Marriage,Akbar the Great,Agra,Mother,Son,Mughal-e-Azam
Family,Marriage,Son,Daughter,Wife,Judge,Boy,Court,Mujhe Insaaf Chahiye
Friendship,Interpersonal relationship,Love,Confession,Cliff,NaN,NaN,NaN,Mujhe Kucch Kehna Hai
Marriage,Love,Interpersonal relationship,Friendship,Wedding,Family,Same-sex marriage,Alimony,Mujhse Dosti Karoge!
Love,Friendship,Social network service,Facebook,Interpersonal relationship,MySpace,Virtue,Interpersonal attraction,Mujhse Fraaandship Karoge
Love,Goa,NaN,NaN,NaN,NaN,NaN,NaN,Mujhse Shaadi Karogi
Court,Marriage,Life imprisonment,Family,English-language films,Wife,Husband,Appeal,Mukti
Indian film actors,Building,Life imprisonment,Fire protection,Prison,Year of birth missing,Penology,Occupancy,Mulzim
KILL,Crime,Police brutality,Indian films,Police,English-language films,Abuse,Black-and-white films,Mumbai Godfather
1993 NASCAR Winston Cup Series,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mumbai Mast Kallander
Film,Movie theater,Human sexuality,Film director,Sexual arousal,NaN,NaN,NaN,Mumbai Matinee
Mumbai Meri Jaan,Mumbai,Mumbai Police,11 July 2006 Mumbai train bombings,History of Mumbai,Old age,Force,Gerontology,Mumbai Meri Jaan
Marriage,Love,Life,Indian National Congress,Broken heart,Indian films,NaN,NaN,Mumbai Salsa
Kidnapping,Son,Default,Fancy Crane,Gang,Ransom,Performance,Default judgment,Mumbai Xpress
Lage Raho Munna Bhai,Munna Bhai M.B.B.S.,Physician,Doctor of Medicine,Medical school,Munna Bhai,Circuit,Medicine,Munna Bhai M.B.B.S.
Love,Family,Wife,NaN,NaN,NaN,NaN,NaN,Muqaddar
Love,Marriage,Unrequited love,Romance,Interpersonal relationship,Love letter,Erotomania,Love-shyness,Muqaddar Ka Sikander
Marriage,English-language films,Wife,Police,Woman,American films,Affair,The Police,Murder
KILL,Murder,Torture,Prostitution,The Missing,Escape,The Police,NaN,Murder 2
Money,Police,Inspector,KILL,NaN,NaN,NaN,NaN,Musafir
Comedy,Romantic comedy film,NaN,NaN,NaN,NaN,NaN,NaN,Muskurahat
Marriage,Engagement,Arranged marriage,Love,Bollywood,English-language films,Mumbai,Romance,My Bollywood Bride
Family,Parent,Mother,Father,School,Teacher,AIDS,HIV,My Brother...Nikhil
Interpersonal relationship,NaN,NaN,NaN,NaN,NaN,NaN,NaN,My Friend Pinto
George W. Bush,Barack Obama,President of the United States,Inauguration of Barack Obama,United States,Democratic Party,Iraq War,Federal Bureau of Investigation,My Name Is Khan
Inspector,Sub-Inspector,Police station,Law enforcement terminology,Missing person,Suspect,Audience,Child sexual abuse,My Wife's Murder
Stay of execution,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NH-8 Road to Nidhivan
Gang,Crime,NaN,NaN,NaN,NaN,NaN,NaN,NH10
Narayani Shastri,Paresh Rawal,Indian television personalities,Indian film actors,Indian television actors,Indian actors,City,Neena Gupta,Na Ghar Ke Na Ghaat Ke
Love,Friendship,Marriage,Interpersonal relationship,Romance,National Mall,Announcer,Radio,Na Tum Jaano Na Hum
Family,KILL,Father,Police,Inspector,Constable,NaN,NaN,Naam O Nishan
Marriage,Family,Wedding,Love,Uttar Pradesh,Adultery,Sibling,Alimony,Nadiya Ke Paar
Corneal transplantation,Family,NaN,NaN,NaN,NaN,NaN,NaN,Naina
Marriage,Family,Wife,Ganges,Ravindra Jain,Mother,Woman,Father,Naiyya
Hotel,Ravi Shankar,Remainder,Family,Hotels,Motel,Love,Vacation rental,Nakhuda
Mother,KILL,English-language films,Murder,Uttarakhand,Family,The Chase,Meantime,Naksha
Family,Love,Marriage,KILL,Wife,Husband,Son,Ranjit Singh,Namak Halaal
Trade union,"Manchester, New Hampshire",Industrial Revolution,New Hampshire,NaN,NaN,NaN,NaN,Namak Haraam
Marriage,Winston Churchill,Friendship,India,Family,Manmohan Singh,Charlie Brown,English people,Namastey London
Family,Shock,Marriage,Himachal Pradesh,Daughter,NaN,NaN,NaN,Namkeen
Marriage,Family,Engagement,Squatting,Wife,Adultery,Hinduism,Proposal of marriage,Naram Garam
Narasimha,Vaishnavism,Vishnu,Hiranyakashipu,The Goon Show,KILL,Shiva,Lakshmi,Narsimha
Sexual intercourse,The Play,NaN,NaN,NaN,NaN,NaN,NaN,Nasha
Physician,Hospital,Nursing,Patient,Mother,Nurse,Truth,Doctor-patient relationship,Nasoor
Family,Parent,1999 albums,Theft,Murder,Priest,Crimes,Mother,Nastik
Girl,Female,Sandy Dennis,Family,The Help,White people,Virginity,NaN,Naughty @ 40
Family,Marriage,Love,Father,Poverty,Amar Akbar Anthony,Indian actors,Mother,Naukar Biwi Ka
Family,Marriage,Indian film actors,Indian actors,Koshish,Sibling,Amitabh Bachchan,Indian Hindus,Nauker
Bomb,Nuclear weapon,Improvised explosive device,Marriage,Political corruption,Rajinikanth,NaN,NaN,Nayak: The Real Hero
Love,Modus operandi,Female,Boy,Girl,Romance,NaN,NaN,Nayee Padosan
Marriage,Love,Turning Point,The Whole Story,NaN,NaN,NaN,NaN,Nazrana
Marriage,Engagement,Sexual intercourse,Canada,Time,NaN,NaN,NaN,Neal 'n' Nikki
Marriage,Pakistan,NaN,NaN,NaN,NaN,NaN,NaN,Neeyat
Horror film,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Neighbours: They Are Vampires
Indian National Army,Subhas Chandra Bose,British Raj,World War II,Indian independence movement,Soviet Union,India,Empire of Japan,Netaji Subhas Chandra Bose: The Forgotten Hero
Family,Marriage,Police,English-language films,Village,Sibling,Husband,Villager,Nishaant
India,Childhood,Hospital,Atmosphere,Indian Air Force,Tibet,Steve Lillywhite,Family,Nishad
Family,Marriage,Hinduism,Daughter,Sanskrit words and phrases,Son,Love,House of Hanover,Nishana
Family,Marriage,Police,English-language films,Village,Sibling,Husband,Villager,Nishant
KILL,Rape,War rape,Hindu deities,Sexual slavery,Mother,Statutory rape,Meantime,Nishchaiy
Marriage,Love,Interpersonal relationship,Affair,Woman,Indian actors,Friendship,Adultery,No Entry
Cigarette,Smoking,Tobacco smoking,Cigar,Nicotine,Tobacco,Electronic cigarette,Police,No Smoking
Camille Guaty,Nevada,Alec Baldwin,NaN,NaN,NaN,NaN,NaN,Nothing But Life
English-language films,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Numbri Aadmi
Truth,English-language films,Death,Grateful Dead,Politician,Sonic boom,American films,The Police,O Teri
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Oh My God
Marriage,Family,Husband,Wife,Spouse,Murder,The Conspiracy,Sibling,Om
Om Shanti Om,Manoj Kumar,Actor,Year of birth missing,Bollywood,Indian films,NaN,NaN,Om Shanti Om
Affair,Suicide,Thou,Brahman,Suicide methods,Marriage,Vishnu,Othello,Omkara
Police,KILL,Police officer,Undercover,Constable,National Police Memorial,The Police,Police brutality,Once Upon Ay Time In Mumbai Dobaara!
United States,Marriage,New York City,U.S. state,Family,Humid subtropical climate,Love,Former British colonies,Out of Control
Family,Punjabi language,Marriage,Theft,Criminal law,Crime,Family therapy,Delhi,Oye Lucky! Lucky Oye!
Remote control,God,Humanoid,The Alien,Bhairon Singh Shekhawat,NaN,NaN,NaN,PK
Gang,Police,Organized crime,Crime,Gangs,Constable,Gold,Illegal drug trade,Paan Singh Tomar
Boy,Police officer,Childhood,Meantime,The Climax,Monastery,Sexual attraction,Police,Paap
Marriage,Family,Law enforcement terminology,Criminal Investigation Department,Marriageable age,Love,Mother,English-language films,Paap Ko Jalaa Kar Raakh Kar Doonga
English-language films,2004 singles,Unborn child,Pregnancy,2007 singles,American films,Joaquin Phoenix,The Unborn,Paar
Newspaper,Editing,BLAST,Best Friend of Charleston,The Party Is Over,Sequerome,European Union,NaN,Page 3
English-language films,Marriage,Mental disorder,Singing,Insane Clown Posse,The Asylum,Gallows,Insanity,Pagla Kahin Ka
Family,Marriage,Ratna Pathak,Wedding,Supriya Pathak,Naseeruddin Shah,The Perfect Murder,Son,Paheli
Academy Award for Best Actress,Extortion,Heroin,Theft Act 1968,NaN,NaN,NaN,NaN,Paisa Vasool
Love,Suicide,Debut albums,Death,Truth,American films,English-language films,NaN,Palkon Ki Chhaon Mein
Family,Grandparent,Love,Mother,Emotion,Psychology,Hotel,Developed country,Papa Kehte Hai
Trees,In Cahoots,NaN,NaN,NaN,NaN,NaN,NaN,Papeeha
Action film,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Param Dharam
Family,Duel,KILL,Son,Marriage,Duelling pistol,Guru Gobind Singh,NaN,Parampara
Family,Marriage,Sibling,Love,Singing,Lava,Son,Sorceress of Castle Grayskull,Parasmani
Friendship,Family,Interpersonal relationship,NaN,NaN,NaN,NaN,NaN,Parda Hai Parda
India,Love,Western culture,Arjun Atwal,Phil Mickelson,Culture of India,NaN,NaN,Pardes
Million,10000000,NaN,NaN,NaN,NaN,NaN,NaN,Pardesi Babu
KILL,Gang,Murder,English-language films,Capital punishment,Best Friends,Underworld,Friends,Parinda
Marriage,Family,Rabindranath Tagore,Adi Dharm,Elvis Presley,Kolkata,Engagement,Tagore family,Parineeta
Hindi film actors,Indian actors,Indian film actors,Agneepath,Filmfare Awards winners,Lucky: No Time for Love,Mujrim,Mithun Chakraborty,Parivaar
Marriage,Love,Wedding,Interpersonal relationship,Shahrukh Khan,Suicide,English-language films,The Love Guru,Partner
Amitabh Bachchan,Suicide,Capital punishment,Suicide methods,Aishwarya Rai,Bollywood,Don,Aankhen,Parwana
Actor,Theatre,Leading,Limousine,Drama,Typography,NaN,NaN,Pasand Apni Apni
KILL,Marriage,Goddess,Equals sign,Vijay Singh,Supernatural,Royal titles,Power,Pataal Bhairavi
Family,Marriage,Engagement,Theft,Sibling,Love,Amitabh Bachchan,NaN,Patanga
Family,Mother,Suicide,Cricket,Father,Marriage,Parent,Cricket World Cup,Patiala House
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Patita
Gang,Crime,The Goon Show,Family,Son,Criminology,NaN,NaN,Patthar Ke Phool
Family,Marriage,Daughter,Wife,Money,Husband,Son,Haryana,Pavitra Paapi
Judge,Biology,Family,Brian Thompson,Species,Son,Daughter,Term,Pehchaan
Pakistan,India,Indo-Pakistani War of 1965,Indian Navy,Inter-Services Intelligence,KILL,Indian Armed Forces,Pakistan Air Force,Phantom
Police,Constable,Police officer,Crime,Police brutality,The Police,NaN,NaN,Phata Poster Nikla Hero
European Union,Torture,Minister,The Police,Minister,Kid Capri,NaN,NaN,Phir Bhi Dil Hai Hindustani
Phir Hera Pheri,Hera Pheri,NaN,NaN,NaN,NaN,NaN,NaN,Phir Hera Pheri
High school,Gerontology,Old age,Ageing,NaN,NaN,NaN,NaN,Phir Kabhi
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Phir Teri Kahani Yaad Aayee
Marriage,Love,Family,Wife,Wedding,Husband,Engagement,Mother,Phool
Jackie Shroff,Game,NaN,NaN,NaN,NaN,NaN,NaN,Phool Aur Aag
Magic,Black magic,Marriage,Witchcraft,Construction,Husband,The Housemaid,The Driver,Phoonk
Cardiac arrest,Defecation,Friendship,Rana dynasty,Cardiac dysrhythmia,NaN,NaN,NaN,Piku
Marriage,Family,Sibling,Cousin,Mother,Consanguinity,Boy,Kidnapping,Pinjar
Shirley MacLaine,English-language films,Love,Family,Marriage,NaN,NaN,NaN,Piya Ka Ghar
Pizza delivery,Police,Supernatural,Spirit,Ghost,Delivery,Pizza,Pizza saver,Pizza
Love,Bollywood,Indian actors,Amitabh Bachchan,Indian film actors,Village,Gambling,LUCKY,Plan
Meantime,Foreigner,Relapse,Hell Breaks Loose,Debut albums,Elevator,NaN,NaN,Platform
Organized crime,Crime,American Mafia,Gang,Russian Mafia,Yakuza,Assassination,Prison gang,Players
Police,Constable,Police academy,Police officer,Police brutality,Police training officer,Greatest hits albums,Carry On films,Police Force: An Inside Story
KILL,Inspector,Nuclear weapon,Indonesian National Police,Sub-Inspector,Fictional police officers,Bunk Moreland,Police station,Policegiri
Marriage,Love,Family,Wedding,BAFTA Award for Best Film,NaN,NaN,NaN,Ponga Pandit
Love,Interpersonal relationship,Romance,Friendship,Lust,Affection,Music video,Platonic love,Popcorn Khao! Mast Ho Jao
Soul,Bernadette Peters,English-language films,NaN,NaN,NaN,NaN,NaN,Prague
Real estate,Mumbai,Cosmetics,Skyscraper,Maharashtra,House,NaN,NaN,Pran Jaye Par Shaan Na Jaye
Marriage,Love,Rajesh Khanna,Surnames,Wife,Family,2009 ISSF World Cup,Husband,Prateeksha
KILL,Police,2000s music groups,Villain,Crime,NaN,NaN,NaN,Pratibandh
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Pratigyabadh
KILL,Saraswati,The Goon,Sanskrit words and phrases,Inspector,Police,Vishnu,Devi,Pratikar
Marriage,Year of birth missing,The Garage,Family,NaN,NaN,NaN,NaN,Preet Na Jane Reet
Marriage,Love,Village,Poverty,Khatri,NaN,NaN,NaN,Prem Bandhan
Romance,Interpersonal relationship,NaN,NaN,NaN,NaN,NaN,NaN,Prem Geet
Marriage,Indian film actors,Indian actors,Love,Family,Kannada film actors,Ramesh Aravind,NaN,Prem Kaa Game
Love,Rajesh Khanna,Marriage,Filmfare Lifetime Achievement Award,Interpersonal relationship,Chor Machaye Shor,NaN,NaN,Prem Kahani
Marriage,Protection racket,The Quarrel,Wedding,English-language films,NaN,NaN,NaN,Prem Pratigyaa
People's Republic of China,Indo-Pakistani War of 1965,English-language films,Southeast Asia,Black-and-white films,Army,Burma,India,Prem Pujari
Imprisonment and detention,Prison,Youth detention center,Emotion,Love,Criminal law,Capital punishment,American films,Prem Qaidi
Prince,Sibling,Royal family,Family,Princess,Monarch,Royal and noble styles,Indian films,Prem Ratan Dhan Payo
Marriage,Family,Love,Interpersonal relationship,Thakur,Husband,Poverty,Salute state,Prem Rog
Marriage,Love,Wife,Wedding,Engagement,Family,Husband,Alimony,Prem Tapasya
Marriage,Hindi film actors,Indian film actors,NaN,NaN,NaN,NaN,NaN,Prem Vivah
Marriage,Love,Divorce,Robert Plant,NaN,NaN,NaN,NaN,Priyatama
Curse,Demon,Anand,Andreas Wilson,Gustaf Skarsgård,NaN,NaN,NaN,Purana Mandir
Reign of Terror,KILL,Murder,Black-and-white films,Terrorism,The Cage,English-language films,Assault,Purani Haveli
Family,Interpersonal relationship,Mother,Father,NaN,NaN,NaN,NaN,Purani Jeans
Computer software,Application software,Computer program,Fran Drescher,NaN,NaN,NaN,NaN,Pyaar Impossible!
Marriage,Interpersonal relationship,Family,Friendship,Love,Andy Summers,Mother,The Police,Pyaar Ka Punchnama 2
KILL,Marriage,Love,Family,Killer,Returning,Death,Cousin,Pyaar Ka Saaya
Marriage,Engagement,Engagement ring,Family,Mother,Divorce,Parent,The Climax,Pyaar Ke Side Effects
Doctor Who,Love,Interpersonal relationship,William Hurt,Friendship,English-language films,Wrong,NaN,Pyaar Ki Jeet
Marriage,Love,Marriageable age,Family,Romance,Interpersonal relationship,Wife,Parent,Pyaar Koi Khel Nahin
Love,Interpersonal relationship,Friendship,Romance,Music,Opera,Joseph Vijay,2000 albums,Pyaar Mein Kabhi Kabhi
Love,English-language films,NaN,NaN,NaN,NaN,NaN,NaN,Pyaar Mein Twist
Love,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Pyaar To Hona Hi Tha
Marriage,Love,Question,Doubt,KILL,Hospital,Interrogative word,NaN,Pyaar Tune Kya Kiya
Family,Kinship and descent,NaN,NaN,NaN,NaN,NaN,NaN,Pyaasa
Family,Son,Daughter,Love,Funk,Childbirth,Debut albums,Truth,Pyaasa Sawan
Love,Marriage,Family,ACT,Chori Chori,David Sylvian,NaN,NaN,Pyar Hua Chori Chori
Action film,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Pyar Ka Karz
Dil Aashna Hai,Indian film actors,NaN,NaN,NaN,NaN,NaN,NaN,Pyar Ke Naam Qurbaan
Suicide,Love,Employment,Approval voting,Suicide methods,Marriage,Hinduism,Disapproval voting,Pyar Ki Kahani
The Trio,Bachelor,Soon,Love,Boyfriend,Sleep,NaN,NaN,Pyar ka Punchnama
Virginity,Joseph Conrad,NaN,NaN,NaN,NaN,NaN,NaN,Pyasa Shaitan
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Qahar
KILL,Family,Rock music,Prison,The Police,Auction,Rural,Town,Qaidi
Family,Suicide,Suicide methods,Son,Sibling,Jaswant Singh,The Final Scene,Jaswant Singh Khalra,Qayamat Se Qayamat Tak
KILL,Federal Bureau of Investigation,Escape,Missile,Rocket,Mumbai,Escape character,The Help,Qayamat: City Under Threat
Family,Marriage,Daughter,NaN,NaN,NaN,NaN,NaN,Qissa
