
0,Marriage,Wife,Husband,Truth,Domestic violence,Nakshatra,NaN,NaN,Astitva
0,The Guest,The Way Home,Tell,NaN,NaN,NaN,NaN,NaN,Atithi Tum Kab Jaoge?
0,Doctor,Truth,2005 albums,Grateful Dead,NaN,NaN,NaN,NaN,Aulad
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Aunty No. 1
0,Family,Marriage,Middle class,Pregnancy,Love,Mother,Informed consent,Romance,Aur Ek Prem Kahani
0,Love,Marriage,Family,The Police,Philosophy of love,Human sexuality,Aur Pyaar Ho Gaya,NaN,Aur Pyaar Ho Gaya
0,Police,KILL,Police brutality,Crime,Constable,Police officer,Family,Indian films,Aurangzeb
0,Indian film actors,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Avinash
0,Love,Wedding anniversary,Interpersonal relationship,Friendship,Wedding,NaN,NaN,NaN,Avishkaar
0,Lakshmi Narayan,Truth,Narayan,NaN,NaN,NaN,NaN,NaN,Avtaar
0,Criminal law,Rape,Crime,Lawyer,Suicide,War rape,Prison,Police,Awaaz
0,India,English-language films,Military discharge,Black-and-white films,Dilip Kumar,The Key,Death,Captain,Awam (film)
0,Marriage,Family,Love,Wife,Mother,Husband,Father,Divorce,Awara Baap
0,Black-and-white films,English-language films,American films,KILL,Brooklyn Bridge,The Reward,Divorce,Death,Awara Paagal Deewana
0,KILL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Awarapan
0,Organized crime,United Nations,NaN,NaN,NaN,NaN,NaN,NaN,Awwal Number
0,Lesson plan,Love,Interpersonal relationship,Marriage,Teacher,Field,Family,Man,Azaad
0,Indian film actors,Dance Dance,Jallaad,NaN,NaN,NaN,NaN,NaN,Baadal
0,Khatri,KILL,Nuclear weapon,NaN,NaN,NaN,NaN,NaN,Baadshah
0,2005 albums,Family,Unfortunately,Killer,Mumbai,Professor,Lecturer,University,Baaghi
0,Family,Salman Khan,Marriage,Love,Son,Prostitution,India,Indian films,Baaghi: A Rebel for Love
0,Shiva,War,The Queen,Son,Guerrilla warfare,KILL,NaN,NaN,Baahubali
0,Hindi film actors,Indian film actors,Indian actors,Filmfare Awards winners,Manoranjan,Insaaf Ka Tarazu,Shalimar,Aankhen,Baat Ban Jaye
0,16th century,SAVE,Brazil,Ship,Coronation,Portugal,Crime,Capital punishment,Baaz
0,Murder,Crime,Killer,Serial killer,Mayor,The Serial: A Year in the Life of Marin County,Serial,All Dogs Go to Heaven,Baaz: A Bird in Danger
0,Suicide,Suicide note,NaN,NaN,NaN,NaN,NaN,NaN,Baazigar
0,Love,Childhood,Marriage,Friendship,Begging,The Streets,Rickshaw,The Whole Family,Babu
0,India,Terrorism,KILL,Capital punishment,2008 Mumbai attacks,Police,Murder,Delhi,Baby
0,Marriage,Love,Anthea Turner: Perfect Housewife,Anthea Turner,NaN,NaN,NaN,NaN,Bachna Ae Haseeno
0,Family,Marriage,Mother,Initiative,Love,Killer,NaN,NaN,Bachpan
0,Gang,Time,Crime,Plan,NaN,NaN,NaN,NaN,Bada Kabutar
0,Interpersonal relationship,Sergeant,Family,Life,Mother,Inspector,Father,NaN,Badal
0,Family,Marriage,Wife,Husband,Kinship and descent,Sibling,Meantime,Same-sex marriage,Badalte Rishtey
0,Love,Popular music,Friendship,Interpersonal relationship,NaN,NaN,NaN,NaN,Bade Dil Wala
0,Warner Bros. Records albums,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bade Dilwala
0,Family,Marriage,Son,Wife,Daughter,Mother,Household,Domestic worker,Bade Ghar Ki Beti
0,Inspector,Crime,Theft,Police officer,Police,Madhuri Dixit,Constable,Question,Bade Miyan Chote Miyan
0,Family,Interpersonal relationship,Love,Son,Friendship,Cinderella effect,Marriage,Shilpa Shetty,Badhaai Ho Badhaai
0,Kishore Kumar,Madhubala,Half Ticket,Chalti Ka Naam Gaadi,Bappi Lahiri,Amit Kumar,NaN,NaN,Badhti Ka Naam Dadhi
0,Family,Sibling,Love,Stepfamily,Son,Money,Who Wants to Be a Millionaire?,Man,Badi Bahen
0,Family,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Badi Maa
0,Parole,Murder,The Police,Evidence,Circumstantial evidence,Andy Summers,The Unknown,Mother,Badlapur
0,English-language films,Wiping,Sibling,American films,Mass murder,Family,Force,Doctor Who,Badle Ki Aag
0,Girl,2006 albums,Money,Marriage,Vishnu,NaN,NaN,NaN,Badmashiyaan
0,Family,Marriage,Love,Son,Mother,Indian masculine given names,Father,Salon des Refusés,Baghban
0,Marriage,Wedding,Family,Mother,Wife,NaN,NaN,NaN,Bahurani
0,Marriage,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bairaag
0,Wedding,Arrest,Deception,Money,Sting operation,Plan,George Costanza,NaN,Bajatey Raho
0,Maratha Empire,Pune,Peshwa,Baji Rao I,Maharaja Chhatrasal,Shaniwar Wada,Mastani,Marriage,Bajirao Mastani
0,Pakistan,Kashmir,Azad Kashmir,India,President of Pakistan,Partition of India,Lahore,Punjab,Bajrangi Bhaijaan
0,Family,Mother,Police,Indonesian National Police,The Police,Inspector,Constable,Parent,Balwaan
0,Actor,Acting,Film,Narrative,Leading actor,NaN,NaN,NaN,Balwinder Singh Famous Ho Gaya
0,KILL,Village,Meantime,The Goon Show,Filmfare Awards winners,Raj Khosla,NaN,NaN,Bambai Ka Babu
0,Hinduism,Religion,Mother,Family,Love,Interpersonal relationship,Philosophy of religion,Faith,Banaras: A Mystic Love Story
0,Management,Love,Death,Return,Family,NaN,NaN,NaN,Banarasi Babu
0,Woman,Tantra,NaN,NaN,NaN,NaN,NaN,NaN,Bandh Darwaza
0,Marriage,Family,Husband,Wife,Love,Sibling,Spouse,Woman,Bandhan
0,Woman,Truth,Summation,Sunil Dutt,Marriage,NaN,NaN,NaN,Bandhan Kuchchey Dhaagon Ka
0,Escape,Official,NaN,NaN,NaN,NaN,NaN,NaN,Bang Bang!
