Charc,Movie,NewChar
",Nagesh Kukunoor",Hyderabad Blues 2,['Nagesh Kukunoor']
",Anubhav Sinha",Tathastu,['Anubhav Sinha']
",Raghu,Sriram Raghavan,Nawazuddin Siddiqui,Divya Dutta,Vinay Pathak",Badlapur,"['Raghu', 'Sriram Raghavan', 'Nawazuddin Siddiqui', 'Divya Dutta', 'Vinay Pathak']"
",Parvin Dabbas,Anupam Kher,Sharat Saxena,Shaikh Ayaz,Yashpal Sharma",Sahi Dhandhe Galat Bande,"['Parvin Dabbas', 'Anupam Kher', 'Sharat Saxena', 'Shaikh Ayaz', 'Yashpal Sharma']"
",Zubeen Garg",Parineeta,['Zubeen Garg']
",Sanjay Dutt,Manisha Koirala,Mahesh Bhatt,Jackie Shroff,Nusrat Fateh Ali Khan,Anu Malik,Bridget Fonda,Majrooh Sultanpuri,Gulshan Grover",Kartoos,"['Sanjay Dutt', 'Manisha Koirala', 'Mahesh Bhatt', 'Jackie Shroff', 'Nusrat Fateh Ali Khan', 'Anu Malik', 'Bridget Fonda', 'Majrooh Sultanpuri', 'Gulshan Grover']"
",Twinkle Khanna,Shah Rukh Khan,Dr. Rusi Surti,Sharat Saxena",Baadshah,"['Twinkle Khanna', 'Shah Rukh Khan', 'Dr. Rusi Surti', 'Sharat Saxena']"
",Sunil Dutt,Farooq Shaikh,Mahinder Kapoor,Yash Chopra,Rekha,Sushma Seth,Shabana Azmi",Faasle,"['Sunil Dutt', 'Farooq Shaikh', 'Mahinder Kapoor', 'Yash Chopra', 'Rekha', 'Sushma Seth', 'Shabana Azmi']"
",Rajesh Roshan,Rakesh Roshan,Basu Chatterjee,Utpal Dutt,Bindiya Goswami",Hamari Bahu Alka,"['Rajesh Roshan', 'Rakesh Roshan', 'Basu Chatterjee', 'Utpal Dutt', 'Bindiya Goswami']"
",Shahid Kapoor,Amrita Rao,Sanjay Dutt,Mahesh Manjrekar,Arshad Warsi,Raj Kapoor,Sharat Saxena,Prem Chopra,Frank Capra,Rajesh Khanna,Anjali Devi,Sivaji Ganeshan",Vaah! Life Ho Toh Aisi!,"['Shahid Kapoor', 'Amrita Rao', 'Sanjay Dutt', 'Mahesh Manjrekar', 'Arshad Warsi', 'Raj Kapoor', 'Sharat Saxena', 'Prem Chopra', 'Frank Capra', 'Rajesh Khanna', 'Anjali Devi', 'Sivaji Ganeshan']"
",Anand Raj Anand,Kim Sharma",Chhodon Naa Yaar,"['Anand Raj Anand', 'Kim Sharma']"
",Asha Bhosle,Jayshree Gadkar,Manna Dey",Shri Krishna Leela,"['Asha Bhosle', 'Jayshree Gadkar', 'Manna Dey']"
",Jaya Prada,Bappi Lahiri,Shakti Kapoor,Sridevi,D. Ramanaidu,Asha Bhonsle",Tohfa,"['Jaya Prada', 'Bappi Lahiri', 'Shakti Kapoor', 'Sridevi', 'D. Ramanaidu', 'Asha Bhonsle']"
",Ram Gopal Varma,Yandamuri Veerendranath,Zakir Hussain",Phoonk,"['Ram Gopal Varma', 'Yandamuri Veerendranath', 'Zakir Hussain']"
",Raj Babbar,Kimi Katkar,Chunkey Pandey,Raza Murad",Aaj Ke Shahenshah,"['Raj Babbar', 'Kimi Katkar', 'Chunkey Pandey', 'Raza Murad']"
",Rahat Fateh Ali Khan,Mohan Agashe,Udita Goswami,Gulshan Grover,Ali Azmat,Mahesh Bhatt,Pooja Bhatt,John Abraham,Anu Malik",Paap,"['Rahat Fateh Ali Khan', 'Mohan Agashe', 'Udita Goswami', 'Gulshan Grover', 'Ali Azmat', 'Mahesh Bhatt', 'Pooja Bhatt', 'John Abraham', 'Anu Malik']"
",Randhir Kapoor,Amitabh Bachchan,Amjad Khan,Neetu Singh,Rekha,Vijayendra Ghatge",Kasme Vaade,"['Randhir Kapoor', 'Amitabh Bachchan', 'Amjad Khan', 'Neetu Singh', 'Rekha', 'Vijayendra Ghatge']"
",Rekha,Hema Malini,Madhuri Dixit,Anil Kapoor,Anupam Kher,Satish Kaushik,A. Kodandarami Reddy",Jamai Raja,"['Rekha', 'Hema Malini', 'Madhuri Dixit', 'Anil Kapoor', 'Anupam Kher', 'Satish Kaushik', 'A. Kodandarami Reddy']"
",Urmila Matondkar,David Dhawan,Kader Khan,Om Puri,Johnny Lever",Kunwara,"['Urmila Matondkar', 'David Dhawan', 'Kader Khan', 'Om Puri', 'Johnny Lever']"
