Charc,Movie,NewChar
",Rishi Kapoor,Zeenat Aman,Amjad Khan,Ranbir Kapoor,Nasir Hussain,Mohammad Rafi,Jalal Agha,Tom Alter,Om Shivpuri,Majrooh Sultanpuri",Hum Kisi Se Kum Nahin,"['Rishi Kapoor', 'Zeenat Aman', 'Amjad Khan', 'Ranbir Kapoor', 'Nasir Hussain', 'Mohammad Rafi', 'Jalal Agha', 'Tom Alter', 'Om Shivpuri', 'Majrooh Sultanpuri']"
",Shashi Kapoor,Sharmila Tagore,Mohammad Rafi,Anand Bakshi",Suhana Safar,"['Shashi Kapoor', 'Sharmila Tagore', 'Mohammad Rafi', 'Anand Bakshi']"
",Sanjay Dutt,Chunky Pandey,Juhi Chawla,Bhanupriya",Zahreelay,"['Sanjay Dutt', 'Chunky Pandey', 'Juhi Chawla', 'Bhanupriya']"
",Sunil Shetty,Mammootty",Krodh,"['Sunil Shetty', 'Mammootty']"
",Dino Morea,Sunil Shetty,Karisma Kapoor,Jackie Shroff,Preeti Jhangiani,Rani Mukherjee,Suhasini Mulay,Saif Ali Khan",Baaz: A Bird in Danger,"['Dino Morea', 'Sunil Shetty', 'Karisma Kapoor', 'Jackie Shroff', 'Preeti Jhangiani', 'Rani Mukherjee', 'Suhasini Mulay', 'Saif Ali Khan']"
",Hema Malini,Suresh Oberoi,Padmini Kohlapure,Kamal Haasan,Raaj Kumar",Ek Nai Paheli,"['Hema Malini', 'Suresh Oberoi', 'Padmini Kohlapure', 'Kamal Haasan', 'Raaj Kumar']"
",Raveena Tandon,Anil Kapoor,Satish Kaushik,David Dhawan,Anu Malik,Pandiarajan,Kader Khan",Gharwali Baharwali,"['Raveena Tandon', 'Anil Kapoor', 'Satish Kaushik', 'David Dhawan', 'Anu Malik', 'Pandiarajan', 'Kader Khan']"
",Jeetendra,Kamini Kaushal",Bikhare Moti,"['Jeetendra', 'Kamini Kaushal']"
",Mithun Chakraborty,Aamir Khan,Bappi Lahiri,Karan Razdan,Adam Sandler,Parvati Khan",Disco Dancer,"['Mithun Chakraborty', 'Aamir Khan', 'Bappi Lahiri', 'Karan Razdan', 'Adam Sandler', 'Parvati Khan']"
",Amjad Khan,Mithun Chakraborty,Danny Denzongpa,Deepak Bahry,Vijayendra Ghatge",Hum Se Badkar Kaun,"['Amjad Khan', 'Mithun Chakraborty', 'Danny Denzongpa', 'Deepak Bahry', 'Vijayendra Ghatge']"
",Shah Jahan,Empress Noor Jahan,Taj Mahal,Emperor Jahangir,Naushad Ali,Arbaaz Khan,Pooja Batra,Akbar,Kabir Bedi,Sonya Jehan",Taj Mahal: An Eternal Love Story,"['Shah Jahan', 'Empress Noor Jahan', 'Taj Mahal', 'Emperor Jahangir', 'Naushad Ali', 'Arbaaz Khan', 'Pooja Batra', 'Akbar', 'Kabir Bedi', 'Sonya Jehan']"
",Muhammad",Ishq,['Muhammad']
",Yash Chopra,Sridevi,Waheeda Rehman,Anupam Kher,Anil Kapoor,Shiv Kumar Sharma",Lamhe,"['Yash Chopra', 'Sridevi', 'Waheeda Rehman', 'Anupam Kher', 'Anil Kapoor', 'Shiv Kumar Sharma']"
",Salman Khan,Saloni Aswani,Angelina Jolie,Prem Chopra,Johny Lever",Saawan... The Love Season,"['Salman Khan', 'Saloni Aswani', 'Angelina Jolie', 'Prem Chopra', 'Johny Lever']"
",Bobby Deol,Nusrat Fateh Ali Khan",Aur Pyaar Ho Gaya,"['Bobby Deol', 'Nusrat Fateh Ali Khan']"
",Shweta Tiwari,Anand Raj Anand,Mallika Sherawat,Aftab Shivdasani,Vijay Raaz,Rajpal Yadav,Om Puri,Gulshan Grover,Shakti Kapoor,Manoj Joshi,Rati Agnihotri",Bin Bulaye Baraati,"['Shweta Tiwari', 'Anand Raj Anand', 'Mallika Sherawat', 'Aftab Shivdasani', 'Vijay Raaz', 'Rajpal Yadav', 'Om Puri', 'Gulshan Grover', 'Shakti Kapoor', 'Manoj Joshi', 'Rati Agnihotri']"
",Ram,Shatrughan Sinha,Raj Khosla,Moushumi Chatterjee,Usha Khanna,Neetu Singh,Ranjeet,Asrani",Ab Kya Hoga,"['Ram', 'Shatrughan Sinha', 'Raj Khosla', 'Moushumi Chatterjee', 'Usha Khanna', 'Neetu Singh', 'Ranjeet', 'Asrani']"
",Kishore Kumar,K. N. Singh",Badhti Ka Naam Dadhi,"['Kishore Kumar', 'K. N. Singh']"
",Asawari Joshi,Deven Bhojani",Chala Mussaddi... Office Office,"['Asawari Joshi', 'Deven Bhojani']"
",Paresh Rawal,Salman Khan,Mithun Chakraborty,Sukanya Verma,Shabbir Ahmed,Faisal Saif,Swanand Kirkire,Sudeep",Oh My God,"['Paresh Rawal', 'Salman Khan', 'Mithun Chakraborty', 'Sukanya Verma', 'Shabbir Ahmed', 'Faisal Saif', 'Swanand Kirkire', 'Sudeep']"
",Akbar",Sindoor,['Akbar']
",Basu Chatterjee,Ashok Kumar,Rati Agnihotri,Mithun Chakraborty,Utpal Dutt,A. K. Hangal",Pasand Apni Apni,"['Basu Chatterjee', 'Ashok Kumar', 'Rati Agnihotri', 'Mithun Chakraborty', 'Utpal Dutt', 'A. K. Hangal']"
",Rama,J. Robert Oppenheimer",Kaal,"['Rama', 'J. Robert Oppenheimer']"
",Kay Kay Menon,Mithun Chakraborty,Sunil Shetty,Johnny Lever,Bappi Lahiri",Enemmy,"['Kay Kay Menon', 'Mithun Chakraborty', 'Sunil Shetty', 'Johnny Lever', 'Bappi Lahiri']"
",Rahul Bose,Shefali Shah,Vipul Amrutlal Shah,Shah,Aparna Sen,Neetu Chandra",Kucch Luv Jaisaa,"['Rahul Bose', 'Shefali Shah', 'Vipul Amrutlal Shah', 'Shah', 'Aparna Sen', 'Neetu Chandra']"
",Ferdinand Magellan",Samar,['Ferdinand Magellan']
",Hema Malini,Rishi Kapoor,Vinod Khanna,Esha Deol,Arjan Bajwa,Colonel Ravi Kapoor,Salman Khan,Farooq Sheikh,Meltem Cumbul,Dharmendra",Tell Me O Kkhuda,"['Hema Malini', 'Rishi Kapoor', 'Vinod Khanna', 'Esha Deol', 'Arjan Bajwa', 'Colonel Ravi Kapoor', 'Salman Khan', 'Farooq Sheikh', 'Meltem Cumbul', 'Dharmendra']"
",J. Om Prakash,Reena Roy,Hrithik Roshan,Sivaji Ganesan,Sridevi,Girish Karnad",Aasha,"['J. Om Prakash', 'Reena Roy', 'Hrithik Roshan', 'Sivaji Ganesan', 'Sridevi', 'Girish Karnad']"
",Kabir",Dil Hi To Hai,['Kabir']
",Neelam Kothari,Kumar Gaurav,Amitabh Bachchan,Tiger Prabhakar,Kader Khan,Sadashiv Amrapurkar",Indrajeet,"['Neelam Kothari', 'Kumar Gaurav', 'Amitabh Bachchan', 'Tiger Prabhakar', 'Kader Khan', 'Sadashiv Amrapurkar']"
",Anup Jalota",Boyss Toh Boyss Hain,['Anup Jalota']
",Kay Kay Menon,Rajpal Yadav,Rituparna Sengupta,Chandan Arora",Main Meri Patni Aur Woh,"['Kay Kay Menon', 'Rajpal Yadav', 'Rituparna Sengupta', 'Chandan Arora']"
",Emraan Hashmi,Mohit Suri,Prashant Narayanan,Mithoon,Yana Gupta,Bipasha Basu",Murder 2,"['Emraan Hashmi', 'Mohit Suri', 'Prashant Narayanan', 'Mithoon', 'Yana Gupta', 'Bipasha Basu']"
",Adhyayan Suman,Neelima Azeem,Rati Agnihotri",Dehraadun Diary,"['Adhyayan Suman', 'Neelima Azeem', 'Rati Agnihotri']"
",Farhan Akhtar,Priyanka Chopra,Zoya Akhtar,Sukhwinder Singh,Kareena Kapoor,Aamir Khan,Anil Kapoor,Anushka Sharma,Kabir Mehra,Shefali Shah,Rahul Bose",Dil Dhadakne Do,"['Farhan Akhtar', 'Priyanka Chopra', 'Zoya Akhtar', 'Sukhwinder Singh', 'Kareena Kapoor', 'Aamir Khan', 'Anil Kapoor', 'Anushka Sharma', 'Kabir Mehra', 'Shefali Shah', 'Rahul Bose']"
",Arshad Warsi,Shilpa Shetty,Ajay Devgan,Aamir Khan,Ayesha Jhulka,Mamta Kulkarni,Sunny Deol,Sonali Bendre",Pyaar Ki Jeet,"['Arshad Warsi', 'Shilpa Shetty', 'Ajay Devgan', 'Aamir Khan', 'Ayesha Jhulka', 'Mamta Kulkarni', 'Sunny Deol', 'Sonali Bendre']"
",Aamir Khan,Abhinay Deo,Imran Khan,Vir Das,Vijay Raaz,Kiran Rao",Delhi Belly,"['Aamir Khan', 'Abhinay Deo', 'Imran Khan', 'Vir Das', 'Vijay Raaz', 'Kiran Rao']"
",Shyam Ramsay,Shakti Kapoor,Arbaaz Ali Khan,Irrfan Khan",Neighbours: They Are Vampires,"['Shyam Ramsay', 'Shakti Kapoor', 'Arbaaz Ali Khan', 'Irrfan Khan']"
",Shahid Kapoor,Genelia D'Souza,Farah Khan,Ken Ghosh,Ronnie Screwvala,Katrina Kaif,Kunal Khemu,Adnan Sami",Chance Pe Dance,"['Shahid Kapoor', ""Genelia D'Souza"", 'Farah Khan', 'Ken Ghosh', 'Ronnie Screwvala', 'Katrina Kaif', 'Kunal Khemu', 'Adnan Sami']"
",Amitabh Bachchan,Sanjay Dutt,Kumar Gaurav,Lucky Ali,Sanjay Gupta,Suniel Shetty,Quentin Tarantino,Malaika Arora,Mahesh Manjrekar,Namrata Singh Gujral,Shilpa Shetty,Ringo Lam,Anand Raj Anand,Gulshan Grover,Rati Agnihotri",Kaante,"['Amitabh Bachchan', 'Sanjay Dutt', 'Kumar Gaurav', 'Lucky Ali', 'Sanjay Gupta', 'Suniel Shetty', 'Quentin Tarantino', 'Malaika Arora', 'Mahesh Manjrekar', 'Namrata Singh Gujral', 'Shilpa Shetty', 'Ringo Lam', 'Anand Raj Anand', 'Gulshan Grover', 'Rati Agnihotri']"
",Rajesh Roshan,Amol Palekar,Basu Chatterjee,Ranjit Chowdhry,Asha Bhosle,Patrick Gilmore,Asrani,Amit Kumar",Baton Baton Mein,"['Rajesh Roshan', 'Amol Palekar', 'Basu Chatterjee', 'Ranjit Chowdhry', 'Asha Bhosle', 'Patrick Gilmore', 'Asrani', 'Amit Kumar']"
",Rahul Bose,Anant Balani,Saurabh Shukla,Vijay Raaz,Perizaad Zorabian",Mumbai Matinee,"['Rahul Bose', 'Anant Balani', 'Saurabh Shukla', 'Vijay Raaz', 'Perizaad Zorabian']"
",Akshay Kumar,Ayesha Jhulka",Dil Ki Baazi,"['Akshay Kumar', 'Ayesha Jhulka']"
",Rajesh Khanna,Ashok Kumar,Mahendra Kapoor,Mohanlal,Smita Patil,Shafi Inamdar,Raj Babbar,Nana Patekar,Poonam Dhillon",Awam (film),"['Rajesh Khanna', 'Ashok Kumar', 'Mahendra Kapoor', 'Mohanlal', 'Smita Patil', 'Shafi Inamdar', 'Raj Babbar', 'Nana Patekar', 'Poonam Dhillon']"
",Katrina Kaif,Imran Khan,Ali Zafar,Preity Zinta,Parikshat Sahni,Aditya Chopra",Mere Brother Ki Dulhan,"['Katrina Kaif', 'Imran Khan', 'Ali Zafar', 'Preity Zinta', 'Parikshat Sahni', 'Aditya Chopra']"
",Elizabeth Siddal,Dante Gabriel Rossetti,Lucille Ball",Henna,"['Elizabeth Siddal', 'Dante Gabriel Rossetti', 'Lucille Ball']"
",Azhar Khan,Lara Dutta,Akshay Kumar,Esha Deol,Koena Mitra,Laila Mehdin,Himesh Reshammiya,Rahul Dev,Tusshar Kapoor",Insan,"['Azhar Khan', 'Lara Dutta', 'Akshay Kumar', 'Esha Deol', 'Koena Mitra', 'Laila Mehdin', 'Himesh Reshammiya', 'Rahul Dev', 'Tusshar Kapoor']"
",Akshay Kumar,Vipul Shah,Kapil",Holiday: A Soldier Is Never Off Duty,"['Akshay Kumar', 'Vipul Shah', 'Kapil']"
",Sulakshana Pandit,Jeetendra",Kasum Khoon Ki,"['Sulakshana Pandit', 'Jeetendra']"
",Sonam Kapoor,Pulkit Samrat,Saif Ali Khan",Dolly Ki Doli,"['Sonam Kapoor', 'Pulkit Samrat', 'Saif Ali Khan']"
",Anu Malik,Kareena Kapoor,Hrithik Roshan,Abhishek Bachchan,Sooraj Barjatya,Himani Shivpuri",Main Prem Ki Diwani Hoon,"['Anu Malik', 'Kareena Kapoor', 'Hrithik Roshan', 'Abhishek Bachchan', 'Sooraj Barjatya', 'Himani Shivpuri']"
",Madhuri Dixit,Juhi Chawla,Tannishtha Chatterjee",Gulaab Gang,"['Madhuri Dixit', 'Juhi Chawla', 'Tannishtha Chatterjee']"
",Neetu Singh",Khoon Ka Rishta,['Neetu Singh']
",Mithun Chakraborty,Shilpa Shirodkar,Kader Khan,Ramesh Sippy,Sumalatha",Swarg Yahan Narak Yahan,"['Mithun Chakraborty', 'Shilpa Shirodkar', 'Kader Khan', 'Ramesh Sippy', 'Sumalatha']"
",Vidya Balan,Emraan Hashmi,Ronnie Screwvala,Amit Trivedi,Parvin Dabas",Ghanchakkar,"['Vidya Balan', 'Emraan Hashmi', 'Ronnie Screwvala', 'Amit Trivedi', 'Parvin Dabas']"
",Dev Anand,Jackie Shroff,Naseeruddin Shah,Mithun Chakraborty,Padmini Kohlapure,Christine O'Neil",Swami Dada,"['Dev Anand', 'Jackie Shroff', 'Naseeruddin Shah', 'Mithun Chakraborty', 'Padmini Kohlapure', ""Christine O'Neil""]"
",Divya Dutta,J. P. Dutta,Shabana Azmi,Abhishek Bachchan,Sunil Shetty,Saif Ali Khan,Puru Raajkumar,Himani Shivpuri,Kulbhushan Kharbanda,Arshad Warsi,Ayesha Jhulka",Umrao Jaan,"['Divya Dutta', 'J. P. Dutta', 'Shabana Azmi', 'Abhishek Bachchan', 'Sunil Shetty', 'Saif Ali Khan', 'Puru Raajkumar', 'Himani Shivpuri', 'Kulbhushan Kharbanda', 'Arshad Warsi', 'Ayesha Jhulka']"
",Saif Ali Khan,Kareena Kapoor,Aamir Khan,Zoya Akhtar,Javed Akhtar,Rani Mukerji",Talaash,"['Saif Ali Khan', 'Kareena Kapoor', 'Aamir Khan', 'Zoya Akhtar', 'Javed Akhtar', 'Rani Mukerji']"
",Madhuri Dixit,Aditya Pancholi,Saroj Khan,Bappi Lahiri,Aadesh Shrivastava,Suresh Oberoi",Sailaab,"['Madhuri Dixit', 'Aditya Pancholi', 'Saroj Khan', 'Bappi Lahiri', 'Aadesh Shrivastava', 'Suresh Oberoi']"
",Raveena Tandon,Sanjay Kapoor,Alfred Hitchcock,Arbaaz Khan,Danny Denzongpa,Aditi Govitrikar",Soch,"['Raveena Tandon', 'Sanjay Kapoor', 'Alfred Hitchcock', 'Arbaaz Khan', 'Danny Denzongpa', 'Aditi Govitrikar']"
",Bobby Deol,Dharmendra,Sunny Deol,Anil Sharma,Kiron Kher,Shilpa Shetty,Himesh Reshammiya,Katrina Kaif,Sonu Nigam",Apne,"['Bobby Deol', 'Dharmendra', 'Sunny Deol', 'Anil Sharma', 'Kiron Kher', 'Shilpa Shetty', 'Himesh Reshammiya', 'Katrina Kaif', 'Sonu Nigam']"
",Hansika Motwani,Aftab Shivdasani,Prem Chopra,Upen Patel,Esha Deol,Archana Puran Singh,Antara Biswas",Money Hai Toh Honey Hai,"['Hansika Motwani', 'Aftab Shivdasani', 'Prem Chopra', 'Upen Patel', 'Esha Deol', 'Archana Puran Singh', 'Antara Biswas']"
",Ashok Kumar,Jeetendra,Nutan,Nirupa Roy",Maa Aur Mamta,"['Ashok Kumar', 'Jeetendra', 'Nutan', 'Nirupa Roy']"
",Mr. Amitabh Bachchan,Rani Mukerji,Satyajit Ray,Zoya Akhtar,Dibakar Banerjee,Mr. Dilip Kumar,Katrina Kaif,Randeep Hooda,Nawazuddin Siddiqui,Sadashiv Amrapurkar,Karan Johar",Bombay Talkie,"['Mr. Amitabh Bachchan', 'Rani Mukerji', 'Satyajit Ray', 'Zoya Akhtar', 'Dibakar Banerjee', 'Mr. Dilip Kumar', 'Katrina Kaif', 'Randeep Hooda', 'Nawazuddin Siddiqui', 'Sadashiv Amrapurkar', 'Karan Johar']"
",Jackie Shroff,Amisha Patel,Aftab Shivdasani,Anupama Verma,Ashish Vidyarthi",Kya Yehi Pyaar Hai,"['Jackie Shroff', 'Amisha Patel', 'Aftab Shivdasani', 'Anupama Verma', 'Ashish Vidyarthi']"
",Winfield R. Sheehan,Billy Sheehan,Bobby Sheehan,Cindy Sheehan,Tom Sheehan,Michael Jarboe Sheehan,Patty Sheehan,Robert Sheehan,D. D. Sheehan",Sheesha,"['Winfield R. Sheehan', 'Billy Sheehan', 'Bobby Sheehan', 'Cindy Sheehan', 'Tom Sheehan', 'Michael Jarboe Sheehan', 'Patty Sheehan', 'Robert Sheehan', 'D. D. Sheehan']"
",Mithun Chakraborty",Insaaf Ki Jung,['Mithun Chakraborty']
",Christy Turlington,Linda Evangelista,Naomi Campbell,Beverly Johnson,Cindy Crawford,Christie Brinkley,Kate Moss,Tatjana Patitz,Claudia Schiffer,Chanel Iman,Margaux Hemingway,Janice Dickinson,Henry Stacy Marks,Jean Shrimpton",Super Model,"['Christy Turlington', 'Linda Evangelista', 'Naomi Campbell', 'Beverly Johnson', 'Cindy Crawford', 'Christie Brinkley', 'Kate Moss', 'Tatjana Patitz', 'Claudia Schiffer', 'Chanel Iman', 'Margaux Hemingway', 'Janice Dickinson', 'Henry Stacy Marks', 'Jean Shrimpton']"
",Jackie Shroff,Naseeruddin Shah,Varsha Usgaonkar,Nagma",Hasti,"['Jackie Shroff', 'Naseeruddin Shah', 'Varsha Usgaonkar', 'Nagma']"
",Arvind Swamy,Juhi Chawla,Anupam Kher,Farida Jalal,Aruna Irani,Mohanlal,Satish Shah,K. S. Ravikumar,Rajinikanth",Saat Rang Ke Sapne,"['Arvind Swamy', 'Juhi Chawla', 'Anupam Kher', 'Farida Jalal', 'Aruna Irani', 'Mohanlal', 'Satish Shah', 'K. S. Ravikumar', 'Rajinikanth']"
",Vinay Pathak,Tusshar Kapoor,Ranvir Shorey,Dolly Ahluwalia",Bajatey Raho,"['Vinay Pathak', 'Tusshar Kapoor', 'Ranvir Shorey', 'Dolly Ahluwalia']"
",Hema Malini,Ashok Kumar,Rajesh Khanna",Janata Havaldar,"['Hema Malini', 'Ashok Kumar', 'Rajesh Khanna']"
",Shashi Kapoor,Lata Mangeshkar,Raj Kapoor,Zeenat Aman,Hema Malini,Vidya Sinha,Sheila Chandra,Dimple Kapadia",Satyam Shivam Sundaram,"['Shashi Kapoor', 'Lata Mangeshkar', 'Raj Kapoor', 'Zeenat Aman', 'Hema Malini', 'Vidya Sinha', 'Sheila Chandra', 'Dimple Kapadia']"
",Dev Anand,Hrishikesh Mukherjee,Keshto Mukherjee,Leela Chitnis,Rekha,Hasrat Jaipuri,Mohammed Rafi,Sandhya Roy,Amitabh Bachchan",Asli Naqli,"['Dev Anand', 'Hrishikesh Mukherjee', 'Keshto Mukherjee', 'Leela Chitnis', 'Rekha', 'Hasrat Jaipuri', 'Mohammed Rafi', 'Sandhya Roy', 'Amitabh Bachchan']"
",Vinglish Sridevi,Amitabh Bachchan,Meryl Streep",English Vinglish,"['Vinglish Sridevi', 'Amitabh Bachchan', 'Meryl Streep']"
",Sanjay Suri,Juhi Chawla,Urmila Matondkar,Yashpal Sharma,Mithoon",Bas Ek Pal,"['Sanjay Suri', 'Juhi Chawla', 'Urmila Matondkar', 'Yashpal Sharma', 'Mithoon']"
",Akshay Kumar,Mahima Chaudhry,Mukesh Rishi,Alok Nath,Gulshan Grover,Riya",Khiladi 420,"['Akshay Kumar', 'Mahima Chaudhry', 'Mukesh Rishi', 'Alok Nath', 'Gulshan Grover', 'Riya']"
",Malcolm X,René Descartes",X,"['Malcolm X', 'René Descartes']"
",Professor Sir Patrick Bateson,Sir John Polkinghorne,Sir Alexander Fleming,Sidney Poitier",Sir,"['Professor Sir Patrick Bateson', 'Sir John Polkinghorne', 'Sir Alexander Fleming', 'Sidney Poitier']"
",Kader Khan,Anupam Kher,Aruna Irani,Umar,Gulshan Grover",Umar 55 Ki Dil Bachpan Ka,"['Kader Khan', 'Anupam Kher', 'Aruna Irani', 'Umar', 'Gulshan Grover']"
",Kapil,Archana Puran Singh,Naseeruddin Shah,Remo Fernandes,Eddie Murphy,Kamini Kaushal",Jalwa,"['Kapil', 'Archana Puran Singh', 'Naseeruddin Shah', 'Remo Fernandes', 'Eddie Murphy', 'Kamini Kaushal']"
",Darsheel Safary,Walt Disney,Robert Koehler,Javed Akhtar",Zokkomon,"['Darsheel Safary', 'Walt Disney', 'Robert Koehler', 'Javed Akhtar']"
",Charlie Chaplin,Virginia Cherrill,James Agee,Arthur Johnston,Florence D. Lee,Orson Welles,Charles Lederer,Eugene Augustin Lauste",City Lights,"['Charlie Chaplin', 'Virginia Cherrill', 'James Agee', 'Arthur Johnston', 'Florence D. Lee', 'Orson Welles', 'Charles Lederer', 'Eugene Augustin Lauste']"
",Raj Kanwar,Shah Rukh Khan,Salman Khan,Preity Zinta,Rani Mukerji,Anu Malik,Mohanlal",Har Dil Jo Pyar Karega,"['Raj Kanwar', 'Shah Rukh Khan', 'Salman Khan', 'Preity Zinta', 'Rani Mukerji', 'Anu Malik', 'Mohanlal']"
",Vidhu Vinod Chopra,Rajkumar Hirani,Sanjay Dutt,Manmohan Singh",Lage Raho Munna Bhai,"['Vidhu Vinod Chopra', 'Rajkumar Hirani', 'Sanjay Dutt', 'Manmohan Singh']"
",Vinod Mehra,Sunil Dutt,Reena Roy,Moushumi Chatterjee",Umar Qaid,"['Vinod Mehra', 'Sunil Dutt', 'Reena Roy', 'Moushumi Chatterjee']"
",Karishma Kapoor,Harish Kumar,Bharat Bhushan,Chandra Mohan,Dalip Tahil,Paresh Rawal,Shafi Inamdar",Prem Qaidi,"['Karishma Kapoor', 'Harish Kumar', 'Bharat Bhushan', 'Chandra Mohan', 'Dalip Tahil', 'Paresh Rawal', 'Shafi Inamdar']"
",Shah Rukh Khan,Madhuri Dixit,Naseeruddin Shah,Ashish Vidyarthi,Bhupen Hazarika,Farida Jalal,Mohan Agashe,A. R. Rahman,Shilpa Shirodkar",Gaja Gamini,"['Shah Rukh Khan', 'Madhuri Dixit', 'Naseeruddin Shah', 'Ashish Vidyarthi', 'Bhupen Hazarika', 'Farida Jalal', 'Mohan Agashe', 'A. R. Rahman', 'Shilpa Shirodkar']"
",M.K. Raina,Raakhee,Hariprasad Chaurasia,Bansi Chandragupta",27 Down,"['M.K. Raina', 'Raakhee', 'Hariprasad Chaurasia', 'Bansi Chandragupta']"
",Dimple Kapadia,Dharmendra",Dushman Devta,"['Dimple Kapadia', 'Dharmendra']"
",Dimple Kapadia,Shakti Kapoor,David Dhawan,Sunny Deol",Aag Ka Gola,"['Dimple Kapadia', 'Shakti Kapoor', 'David Dhawan', 'Sunny Deol']"
",Vivek Oberoi,Aftab Shivdasani,Indra Kumar,Anupama Chopra,Sachin Tendulkar",Masti,"['Vivek Oberoi', 'Aftab Shivdasani', 'Indra Kumar', 'Anupama Chopra', 'Sachin Tendulkar']"
",R. Madhavan,Sanjay Suri,Namrata Shirodkar,Dipannita Sharma,Jimmy Shergill,R.D. Burman,Vivek Vaswani,Sonali Kulkarni,Raj Kapoor,Abhijeet Bhattacharya,Hrishitaa Bhatt,Mahima Chaudhry,Sadhna Sargam,Sunidhi Chauhan",Dil Vil Pyar Vyar,"['R. Madhavan', 'Sanjay Suri', 'Namrata Shirodkar', 'Dipannita Sharma', 'Jimmy Shergill', 'R.D. Burman', 'Vivek Vaswani', 'Sonali Kulkarni', 'Raj Kapoor', 'Abhijeet Bhattacharya', 'Hrishitaa Bhatt', 'Mahima Chaudhry', 'Sadhna Sargam', 'Sunidhi Chauhan']"
",Christian Vieri,Kobe Bryant,Kevin-Prince Boateng,Prince Aga Khan IV,Rafael Benítez",Satta,"['Christian Vieri', 'Kobe Bryant', 'Kevin-Prince Boateng', 'Prince Aga Khan IV', 'Rafael Benítez']"
",Vinod Khanna,Dimple Kapadia,Jackie Shroff",Aakhri Adaalat,"['Vinod Khanna', 'Dimple Kapadia', 'Jackie Shroff']"
",Rohit Shetty,Kareena Kapoor,Ajay Devgan,Anupam Kher,Amole Gupte",Singham Returns,"['Rohit Shetty', 'Kareena Kapoor', 'Ajay Devgan', 'Anupam Kher', 'Amole Gupte']"
",Sanjay Dutt,Dilip Kumar,Kader Khan,Anupam Kher,Bappi Lahiri,Gulshan Grover",Kanoon Apna Apna,"['Sanjay Dutt', 'Dilip Kumar', 'Kader Khan', 'Anupam Kher', 'Bappi Lahiri', 'Gulshan Grover']"
",Karan Johar,Preity Zinta,Amitabh Bachchan,Arjun Rampal,Rani Mukerji,Shah Rukh Khan,Javed Akhtar,Abhishek Bachchan,Kajol,Kirron Kher",Kabhi Alvida Naa Kehna,"['Karan Johar', 'Preity Zinta', 'Amitabh Bachchan', 'Arjun Rampal', 'Rani Mukerji', 'Shah Rukh Khan', 'Javed Akhtar', 'Abhishek Bachchan', 'Kajol', 'Kirron Kher']"
",Vinod Mehra,Mithun Chakraborty",Ustadi Ustad Se,"['Vinod Mehra', 'Mithun Chakraborty']"
",William Herschel,Friedrich Bessel,Geminiano Montanari,Giordano Bruno,Hipparchus,Ptolemy,Karl Schwarzschild,Cecilia Payne-Gaposchkin,John Herschel,Angelo Secchi,Edmond Halley,Johann Bayer,John Flamsteed,Albert A. Michelson,Friedrich Georg Wilhelm",Star,"['William Herschel', 'Friedrich Bessel', 'Geminiano Montanari', 'Giordano Bruno', 'Hipparchus', 'Ptolemy', 'Karl Schwarzschild', 'Cecilia Payne-Gaposchkin', 'John Herschel', 'Angelo Secchi', 'Edmond Halley', 'Johann Bayer', 'John Flamsteed', 'Albert A. Michelson', 'Friedrich Georg Wilhelm']"
",Juhi Chawla,Himesh Reshammiya",Aamdani Atthani Kharcha Rupaiyaa,"['Juhi Chawla', 'Himesh Reshammiya']"
",Sridevi,Anil Kapoor,Amrish Puri,Satish Kaushik,Sharat Saxena,Shekhar Kapur,Ashok Kumar,Boney Kapoor,Yunus Parvez,Harish Patel",Mr. India,"['Sridevi', 'Anil Kapoor', 'Amrish Puri', 'Satish Kaushik', 'Sharat Saxena', 'Shekhar Kapur', 'Ashok Kumar', 'Boney Kapoor', 'Yunus Parvez', 'Harish Patel']"
",Dilip Kumar,Waheeda Rehman,Pran,Shakeel Badayuni,Nirupa Roy,Mala Sinha",Ram Aur Shyam,"['Dilip Kumar', 'Waheeda Rehman', 'Pran', 'Shakeel Badayuni', 'Nirupa Roy', 'Mala Sinha']"
",Naseeruddin Shah,Mrinal Sen,Shabana Azmi",Khandhar,"['Naseeruddin Shah', 'Mrinal Sen', 'Shabana Azmi']"
",Mallika Sherawat,Asha Bhosle",Khwahish,"['Mallika Sherawat', 'Asha Bhosle']"
",Rohit Roy,Karishma Kapoor,Shakti Kapoor,Shah Rukh Khan,Johnny Lever,Bobby Deol,William Hurt,Sigourney Weaver,Anu Malik,Majrooh Sultanpuri,Raj Zutshi",Hum To Mohabbat Karega,"['Rohit Roy', 'Karishma Kapoor', 'Shakti Kapoor', 'Shah Rukh Khan', 'Johnny Lever', 'Bobby Deol', 'William Hurt', 'Sigourney Weaver', 'Anu Malik', 'Majrooh Sultanpuri', 'Raj Zutshi']"
",Shweta Tiwari,Tanveer Khan,Kangana Ranaut",Miley Naa Miley Hum,"['Shweta Tiwari', 'Tanveer Khan', 'Kangana Ranaut']"
",Mandira Bedi,Anil Kumble,Anupam Kher,Mahesh Manjrekar,Eijaz Khan",Meerabai Not Out,"['Mandira Bedi', 'Anil Kumble', 'Anupam Kher', 'Mahesh Manjrekar', 'Eijaz Khan']"
